GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median value (dollars),Margin of Error; Median value (dollars)
310M200US10180,10180,"Abilene, TX Metro Area",107400,6132
310M200US10420,10420,"Akron, OH Metro Area",146300,3650
310M200US10500,10500,"Albany, GA Metro Area",110200,6673
310M200US10540,10540,"Albany, OR Metro Area",176300,9832
310M200US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",201000,4085
310M200US10740,10740,"Albuquerque, NM Metro Area",181800,3275
310M200US10780,10780,"Alexandria, LA Metro Area",134800,9497
310M200US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",203500,3553
310M200US11020,11020,"Altoona, PA Metro Area",114800,6151
310M200US11100,11100,"Amarillo, TX Metro Area",127800,5279
310M200US11180,11180,"Ames, IA Metro Area",177400,11299
310M200US11260,11260,"Anchorage, AK Metro Area",283000,6128
310M200US11460,11460,"Ann Arbor, MI Metro Area",234200,6268
310M200US11500,11500,"Anniston-Oxford-Jacksonville, AL Metro Area",111400,6618
310M200US11540,11540,"Appleton, WI Metro Area",159600,4073
310M200US11700,11700,"Asheville, NC Metro Area",195800,5738
310M200US12020,12020,"Athens-Clarke County, GA Metro Area",158600,7018
310M200US12060,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",186300,2226
310M200US12100,12100,"Atlantic City-Hammonton, NJ Metro Area",223400,7907
310M200US12220,12220,"Auburn-Opelika, AL Metro Area",169000,8774
310M200US12260,12260,"Augusta-Richmond County, GA-SC Metro Area",135100,4899
310M200US12420,12420,"Austin-Round Rock, TX Metro Area",241100,4016
310M200US12540,12540,"Bakersfield, CA Metro Area",197100,6541
310M200US12580,12580,"Baltimore-Columbia-Towson, MD Metro Area",290300,2847
310M200US12620,12620,"Bangor, ME Metro Area",143100,9242
310M200US12700,12700,"Barnstable Town, MA Metro Area",375300,8311
310M200US12940,12940,"Baton Rouge, LA Metro Area",176400,4999
310M200US12980,12980,"Battle Creek, MI Metro Area",101400,5638
310M200US13020,13020,"Bay City, MI Metro Area",94100,4893
310M200US13140,13140,"Beaumont-Port Arthur, TX Metro Area",106000,4706
310M200US13220,13220,"Beckley, WV Metro Area",99600,10785
310M200US13380,13380,"Bellingham, WA Metro Area",293700,9377
310M200US13460,13460,"Bend-Redmond, OR Metro Area",312600,18751
310M200US13740,13740,"Billings, MT Metro Area",211500,6113
310M200US13780,13780,"Binghamton, NY Metro Area",113600,3540
310M200US13820,13820,"Birmingham-Hoover, AL Metro Area",156900,2781
310M200US13900,13900,"Bismarck, ND Metro Area",226300,9755
310M200US13980,13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",172300,8266
310M200US14010,14010,"Bloomington, IL Metro Area",163000,5316
310M200US14020,14020,"Bloomington, IN Metro Area",154200,7597
310M200US14100,14100,"Bloomsburg-Berwick, PA Metro Area",159400,6042
310M200US14260,14260,"Boise City, ID Metro Area",193100,5199
310M200US14460,14460,"Boston-Cambridge-Newton, MA-NH Metro Area",393000,2861
310M200US14500,14500,"Boulder, CO Metro Area",416500,13770
310M200US14540,14540,"Bowling Green, KY Metro Area",127100,7763
310M200US14740,14740,"Bremerton-Silverdale, WA Metro Area",269200,8066
310M200US14860,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",420900,9284
310M200US15180,15180,"Brownsville-Harlingen, TX Metro Area",82800,2983
310M200US15260,15260,"Brunswick, GA Metro Area",134200,17669
310M200US15380,15380,"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",135200,2103
310M200US15500,15500,"Burlington, NC Metro Area",141100,6860
310M200US15540,15540,"Burlington-South Burlington, VT Metro Area",266800,7084
310M200US15680,15680,"California-Lexington Park, MD Metro Area",293700,9548
310M200US15940,15940,"Canton-Massillon, OH Metro Area",126400,3324
310M200US15980,15980,"Cape Coral-Fort Myers, FL Metro Area",184200,8619
310M200US16020,16020,"Cape Girardeau, MO-IL Metro Area",146500,8355
310M200US16060,16060,"Carbondale-Marion, IL Metro Area",98800,7243
310M200US16180,16180,"Carson City, NV Metro Area",218100,16134
310M200US16220,16220,"Casper, WY Metro Area",206400,14449
310M200US16300,16300,"Cedar Rapids, IA Metro Area",149000,4042
310M200US16540,16540,"Chambersburg-Waynesboro, PA Metro Area",175200,7746
310M200US16580,16580,"Champaign-Urbana, IL Metro Area",152600,5007
310M200US16620,16620,"Charleston, WV Metro Area",104100,6822
310M200US16700,16700,"Charleston-North Charleston, SC Metro Area",210400,6729
310M200US16740,16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",173900,2292
310M200US16820,16820,"Charlottesville, VA Metro Area",271900,8468
310M200US16860,16860,"Chattanooga, TN-GA Metro Area",150300,4110
310M200US16940,16940,"Cheyenne, WY Metro Area",204500,10777
310M200US16980,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",224300,1545
310M200US17020,17020,"Chico, CA Metro Area",246700,9668
310M200US17140,17140,"Cincinnati, OH-KY-IN Metro Area",159200,1871
310M200US17300,17300,"Clarksville, TN-KY Metro Area",140600,6628
310M200US17420,17420,"Cleveland, TN Metro Area",149000,9946
310M200US17460,17460,"Cleveland-Elyria, OH Metro Area",143100,1674
310M200US17660,17660,"Coeur d'Alene, ID Metro Area",197700,8392
310M200US17780,17780,"College Station-Bryan, TX Metro Area",166300,7717
310M200US17820,17820,"Colorado Springs, CO Metro Area",234100,4007
310M200US17860,17860,"Columbia, MO Metro Area",181000,15735
310M200US17900,17900,"Columbia, SC Metro Area",147500,3217
310M200US17980,17980,"Columbus, GA-AL Metro Area",138900,6820
310M200US18020,18020,"Columbus, IN Metro Area",136800,6855
310M200US18140,18140,"Columbus, OH Metro Area",166600,2000
310M200US18580,18580,"Corpus Christi, TX Metro Area",123900,5368
310M200US18700,18700,"Corvallis, OR Metro Area",275800,13333
310M200US18880,18880,"Crestview-Fort Walton Beach-Destin, FL Metro Area",203500,10535
310M200US19060,19060,"Cumberland, MD-WV Metro Area",119400,9560
310M200US19100,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",172500,1423
310M200US19140,19140,"Dalton, GA Metro Area",125600,8351
310M200US19180,19180,"Danville, IL Metro Area",73800,5359
310M200US19300,19300,"Daphne-Fairhope-Foley, AL Metro Area",177800,9143
310M200US19340,19340,"Davenport-Moline-Rock Island, IA-IL Metro Area",128900,4712
310M200US19380,19380,"Dayton, OH Metro Area",124500,2778
310M200US19460,19460,"Decatur, AL Metro Area",125700,8481
310M200US19500,19500,"Decatur, IL Metro Area",98200,4957
310M200US19660,19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",151000,3797
310M200US19740,19740,"Denver-Aurora-Lakewood, CO Metro Area",314400,3220
310M200US19780,19780,"Des Moines-West Des Moines, IA Metro Area",164700,3043
310M200US19820,19820,"Detroit-Warren-Dearborn, MI Metro Area",151000,1455
310M200US20020,20020,"Dothan, AL Metro Area",120500,6779
310M200US20100,20100,"Dover, DE Metro Area",215200,9045
310M200US20220,20220,"Dubuque, IA Metro Area",161700,4932
310M200US20260,20260,"Duluth, MN-WI Metro Area",147300,3870
310M200US20500,20500,"Durham-Chapel Hill, NC Metro Area",204700,8649
310M200US20700,20700,"East Stroudsburg, PA Metro Area",166700,4867
310M200US20740,20740,"Eau Claire, WI Metro Area",151500,5494
310M200US20940,20940,"El Centro, CA Metro Area",169000,5118
310M200US21060,21060,"Elizabethtown-Fort Knox, KY Metro Area",141500,8876
310M200US21140,21140,"Elkhart-Goshen, IN Metro Area",134900,4762
310M200US21300,21300,"Elmira, NY Metro Area",98600,5393
310M200US21340,21340,"El Paso, TX Metro Area",113900,2608
310M200US21500,21500,"Erie, PA Metro Area",121800,3900
310M200US21660,21660,"Eugene, OR Metro Area",235800,5675
310M200US21780,21780,"Evansville, IN-KY Metro Area",130400,4015
310M200US21820,21820,"Fairbanks, AK Metro Area",229300,10257
310M200US22020,22020,"Fargo, ND-MN Metro Area",193600,7284
310M200US22140,22140,"Farmington, NM Metro Area",147800,9400
310M200US22180,22180,"Fayetteville, NC Metro Area",127800,6962
310M200US22220,22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",159800,4590
310M200US22380,22380,"Flagstaff, AZ Metro Area",228600,15946
310M200US22420,22420,"Flint, MI Metro Area",99200,3979
310M200US22500,22500,"Florence, SC Metro Area",115300,7414
310M200US22520,22520,"Florence-Muscle Shoals, AL Metro Area",114800,8776
310M200US22540,22540,"Fond du Lac, WI Metro Area",146700,5225
310M200US22660,22660,"Fort Collins, CO Metro Area",298100,7449
310M200US22900,22900,"Fort Smith, AR-OK Metro Area",108400,3651
310M200US23060,23060,"Fort Wayne, IN Metro Area",123700,3046
310M200US23420,23420,"Fresno, CA Metro Area",220100,4800
310M200US23460,23460,"Gadsden, AL Metro Area",99200,7143
310M200US23540,23540,"Gainesville, FL Metro Area",164400,7183
310M200US23580,23580,"Gainesville, GA Metro Area",173600,7738
310M200US23900,23900,"Gettysburg, PA Metro Area",193800,7934
310M200US24020,24020,"Glens Falls, NY Metro Area",163200,7182
310M200US24140,24140,"Goldsboro, NC Metro Area",119600,11017
310M200US24220,24220,"Grand Forks, ND-MN Metro Area",177000,8244
310M200US24260,24260,"Grand Island, NE Metro Area",134200,12007
310M200US24300,24300,"Grand Junction, CO Metro Area",198800,10129
310M200US24340,24340,"Grand Rapids-Wyoming, MI Metro Area",151300,2160
310M200US24420,24420,"Grants Pass, OR Metro Area",232700,14233
310M200US24500,24500,"Great Falls, MT Metro Area",168600,5616
310M200US24540,24540,"Greeley, CO Metro Area",242700,6801
310M200US24580,24580,"Green Bay, WI Metro Area",158600,2806
310M200US24660,24660,"Greensboro-High Point, NC Metro Area",144900,3679
310M200US24780,24780,"Greenville, NC Metro Area",138200,9153
310M200US24860,24860,"Greenville-Anderson-Mauldin, SC Metro Area",146400,3009
310M200US25060,25060,"Gulfport-Biloxi-Pascagoula, MS Metro Area",134200,6868
310M200US25180,25180,"Hagerstown-Martinsburg, MD-WV Metro Area",186900,7266
310M200US25220,25220,"Hammond, LA Metro Area",136700,12767
310M200US25260,25260,"Hanford-Corcoran, CA Metro Area",183000,10686
310M200US25420,25420,"Harrisburg-Carlisle, PA Metro Area",172600,3080
310M200US25500,25500,"Harrisonburg, VA Metro Area",198700,7455
310M200US25540,25540,"Hartford-West Hartford-East Hartford, CT Metro Area",247000,2929
310M200US25620,25620,"Hattiesburg, MS Metro Area",136800,16003
310M200US25860,25860,"Hickory-Lenoir-Morganton, NC Metro Area",122000,4148
310M200US25940,25940,"Hilton Head Island-Bluffton-Beaufort, SC Metro Area",253500,16158
310M200US25980,25980,"Hinesville, GA Metro Area",114100,10082
310M200US26140,26140,"Homosassa Springs, FL Metro Area",115900,8194
