GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median value (dollars),Margin of Error; Median value (dollars)
310M200US10180,10180,"Abilene, TX Metro Area",94000,2341
310M200US10420,10420,"Akron, OH Metro Area",137900,1141
310M200US10500,10500,"Albany, GA Metro Area",106100,2775
310M200US10540,10540,"Albany, OR Metro Area",170300,3338
310M200US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",197400,1408
310M200US10740,10740,"Albuquerque, NM Metro Area",177100,1864
310M200US10780,10780,"Alexandria, LA Metro Area",120100,3086
310M200US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",199800,1498
310M200US11020,11020,"Altoona, PA Metro Area",110600,2812
310M200US11100,11100,"Amarillo, TX Metro Area",122200,2044
310M200US11180,11180,"Ames, IA Metro Area",166000,3066
310M200US11260,11260,"Anchorage, AK Metro Area",272300,2614
310M200US11460,11460,"Ann Arbor, MI Metro Area",208200,2920
310M200US11500,11500,"Anniston-Oxford-Jacksonville, AL Metro Area",105900,3221
310M200US11540,11540,"Appleton, WI Metro Area",158100,1516
310M200US11700,11700,"Asheville, NC Metro Area",182500,2642
310M200US12020,12020,"Athens-Clarke County, GA Metro Area",157800,3035
310M200US12060,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",168100,727
310M200US12100,12100,"Atlantic City-Hammonton, NJ Metro Area",225600,3238
310M200US12220,12220,"Auburn-Opelika, AL Metro Area",154300,3405
310M200US12260,12260,"Augusta-Richmond County, GA-SC Metro Area",128200,1778
310M200US12420,12420,"Austin-Round Rock, TX Metro Area",208700,1369
310M200US12540,12540,"Bakersfield, CA Metro Area",167400,1619
310M200US12580,12580,"Baltimore-Columbia-Towson, MD Metro Area",277500,1111
310M200US12620,12620,"Bangor, ME Metro Area",137400,2809
310M200US12700,12700,"Barnstable Town, MA Metro Area",363500,3805
310M200US12940,12940,"Baton Rouge, LA Metro Area",161800,1129
310M200US12980,12980,"Battle Creek, MI Metro Area",96000,2401
310M200US13020,13020,"Bay City, MI Metro Area",92800,2164
310M200US13140,13140,"Beaumont-Port Arthur, TX Metro Area",97700,1686
310M200US13220,13220,"Beckley, WV Metro Area",90100,2915
310M200US13380,13380,"Bellingham, WA Metro Area",274700,3585
310M200US13460,13460,"Bend-Redmond, OR Metro Area",253400,7854
