GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20
Id,Id2,Geography,Households; Estimate; Total,Households; Margin of Error; Total,Families; Estimate; Total,Families; Margin of Error; Total,Married-couple families; Estimate; Total,Married-couple families; Margin of Error; Total,Nonfamily households; Estimate; Total,Nonfamily households; Margin of Error; Total,"Households; Estimate; Less than $10,000","Households; Margin of Error; Less than $10,000","Families; Estimate; Less than $10,000","Families; Margin of Error; Less than $10,000","Married-couple families; Estimate; Less than $10,000","Married-couple families; Margin of Error; Less than $10,000","Nonfamily households; Estimate; Less than $10,000","Nonfamily households; Margin of Error; Less than $10,000","Households; Estimate; $10,000 to $14,999","Households; Margin of Error; $10,000 to $14,999","Families; Estimate; $10,000 to $14,999","Families; Margin of Error; $10,000 to $14,999","Married-couple families; Estimate; $10,000 to $14,999","Married-couple families; Margin of Error; $10,000 to $14,999","Nonfamily households; Estimate; $10,000 to $14,999","Nonfamily households; Margin of Error; $10,000 to $14,999","Households; Estimate; $15,000 to $24,999","Households; Margin of Error; $15,000 to $24,999","Families; Estimate; $15,000 to $24,999","Families; Margin of Error; $15,000 to $24,999","Married-couple families; Estimate; $15,000 to $24,999","Married-couple families; Margin of Error; $15,000 to $24,999","Nonfamily households; Estimate; $15,000 to $24,999","Nonfamily households; Margin of Error; $15,000 to $24,999","Households; Estimate; $25,000 to $34,999","Households; Margin of Error; $25,000 to $34,999","Families; Estimate; $25,000 to $34,999","Families; Margin of Error; $25,000 to $34,999","Married-couple families; Estimate; $25,000 to $34,999","Married-couple families; Margin of Error; $25,000 to $34,999","Nonfamily households; Estimate; $25,000 to $34,999","Nonfamily households; Margin of Error; $25,000 to $34,999","Households; Estimate; $35,000 to $49,999","Households; Margin of Error; $35,000 to $49,999","Families; Estimate; $35,000 to $49,999","Families; Margin of Error; $35,000 to $49,999","Married-couple families; Estimate; $35,000 to $49,999","Married-couple families; Margin of Error; $35,000 to $49,999","Nonfamily households; Estimate; $35,000 to $49,999","Nonfamily households; Margin of Error; $35,000 to $49,999","Households; Estimate; $50,000 to $74,999","Households; Margin of Error; $50,000 to $74,999","Families; Estimate; $50,000 to $74,999","Families; Margin of Error; $50,000 to $74,999","Married-couple families; Estimate; $50,000 to $74,999","Married-couple families; Margin of Error; $50,000 to $74,999","Nonfamily households; Estimate; $50,000 to $74,999","Nonfamily households; Margin of Error; $50,000 to $74,999","Households; Estimate; $75,000 to $99,999","Households; Margin of Error; $75,000 to $99,999","Families; Estimate; $75,000 to $99,999","Families; Margin of Error; $75,000 to $99,999","Married-couple families; Estimate; $75,000 to $99,999","Married-couple families; Margin of Error; $75,000 to $99,999","Nonfamily households; Estimate; $75,000 to $99,999","Nonfamily households; Margin of Error; $75,000 to $99,999","Households; Estimate; $100,000 to $149,999","Households; Margin of Error; $100,000 to $149,999","Families; Estimate; $100,000 to $149,999","Families; Margin of Error; $100,000 to $149,999","Married-couple families; Estimate; $100,000 to $149,999","Married-couple families; Margin of Error; $100,000 to $149,999","Nonfamily households; Estimate; $100,000 to $149,999","Nonfamily households; Margin of Error; $100,000 to $149,999","Households; Estimate; $150,000 to $199,999","Households; Margin of Error; $150,000 to $199,999","Families; Estimate; $150,000 to $199,999","Families; Margin of Error; $150,000 to $199,999","Married-couple families; Estimate; $150,000 to $199,999","Married-couple families; Margin of Error; $150,000 to $199,999","Nonfamily households; Estimate; $150,000 to $199,999","Nonfamily households; Margin of Error; $150,000 to $199,999","Households; Estimate; $200,000 or more","Households; Margin of Error; $200,000 or more","Families; Estimate; $200,000 or more","Families; Margin of Error; $200,000 or more","Married-couple families; Estimate; $200,000 or more","Married-couple families; Margin of Error; $200,000 or more","Nonfamily households; Estimate; $200,000 or more","Nonfamily households; Margin of Error; $200,000 or more",Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars),Households; Estimate; Mean income (dollars),Households; Margin of Error; Mean income (dollars),Families; Estimate; Mean income (dollars),Families; Margin of Error; Mean income (dollars),Married-couple families; Estimate; Mean income (dollars),Married-couple families; Margin of Error; Mean income (dollars),Nonfamily households; Estimate; Mean income (dollars),Nonfamily households; Margin of Error; Mean income (dollars),Households; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Households; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Households; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months
310M200US10180,10180,"Abilene, TX Metro Area",60238,1641,39448,1158,29380,1162,20790,989,8.2,0.6,5.1,0.7,2.5,0.5,15.6,1.5,6.6,0.8,4.1,0.9,1.8,0.5,12.0,1.7,12.3,0.9,8.8,1.1,5.8,1.0,20.5,1.7,12.3,0.8,11.4,1.1,9.3,1.0,14.5,1.6,15.0,0.9,14.2,1.0,14.6,1.2,15.7,1.5,19.2,1.0,21.6,1.4,23.1,1.6,13.5,1.6,10.8,1.0,13.7,1.4,16.4,1.4,4.1,0.9,9.7,0.8,13.2,1.2,16.6,1.5,2.7,0.7,3.1,0.5,4.2,0.7,5.3,0.9,0.7,0.4,2.7,0.4,3.7,0.6,4.6,0.7,0.7,0.3,44799,1146,56448,1611,67166,1979,26034,1129,60731,1655,71769,2279,82723,2727,36612,2060,32.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),33.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),30.2,(X)
310M200US10420,10420,"Akron, OH Metro Area",281957,1344,178180,1640,130090,1861,103777,1588,8.0,0.4,5.0,0.4,1.2,0.2,14.4,0.8,5.4,0.3,3.0,0.3,1.0,0.2,10.1,0.7,10.8,0.4,6.9,0.4,3.7,0.3,17.7,0.8,10.5,0.3,8.5,0.4,6.3,0.4,14.2,0.7,14.1,0.5,12.7,0.5,11.9,0.6,16.6,0.9,18.7,0.4,20.7,0.5,21.8,0.6,14.9,0.7,12.2,0.4,15.4,0.5,18.2,0.7,5.8,0.5,12.4,0.4,16.9,0.6,21.5,0.8,4.2,0.4,4.1,0.2,5.7,0.3,7.4,0.4,1.2,0.2,3.7,0.2,5.3,0.3,6.9,0.4,0.8,0.2,51160,559,65716,965,80058,1021,30214,700,68639,720,83924,1037,99026,1337,40158,859,30.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),30.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),29.7,(X)
310M200US10500,10500,"Albany, GA Metro Area",57997,650,38646,795,23291,667,19351,694,15.0,0.9,12.0,1.1,3.5,0.9,22.7,2.1,7.3,0.7,4.9,0.7,2.1,0.6,12.3,1.6,13.1,0.9,10.5,1.1,6.5,0.8,18.0,1.9,11.9,0.8,12.0,1.1,10.7,1.3,12.2,1.4,14.4,1.1,15.1,1.3,15.3,1.7,13.6,1.9,16.3,1.0,17.0,1.2,21.3,1.7,12.7,1.7,9.1,0.8,11.4,1.0,15.1,1.6,4.1,0.9,8.2,0.7,10.6,1.0,15.9,1.5,3.2,0.9,2.8,0.4,4.0,0.6,5.9,1.0,0.5,0.2,2.0,0.4,2.5,0.5,3.6,0.7,0.7,0.6,37404,1010,44715,1283,62455,2839,23107,1553,53163,1665,61646,2210,79405,3086,34378,3136,42.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),41.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),41.3,(X)
310M200US10540,10540,"Albany, OR Metro Area",45100,511,30709,626,23365,697,14391,617,7.8,1.0,5.1,0.9,1.6,0.5,16.1,2.5,6.4,0.8,4.6,0.9,1.9,0.6,11.7,1.7,12.7,1.1,9.8,1.2,7.2,1.1,19.9,2.3,11.5,1.1,10.6,1.2,9.3,1.4,13.4,1.9,15.4,1.1,15.4,1.2,14.8,1.5,15.7,2.1,21.3,1.3,22.9,1.6,26.7,2.0,15.3,2.4,13.0,1.1,16.2,1.3,19.4,1.8,4.7,1.4,8.6,0.8,11.1,1.1,14.0,1.4,2.3,0.8,2.1,0.4,2.7,0.5,3.2,0.7,0.7,0.4,1.2,0.3,1.6,0.4,1.8,0.5,0.3,0.3,45644,1566,54713,2020,63370,2599,26260,1531,55404,1279,63118,1447,71704,1851,35269,2280,28.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),27.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),27.0,(X)
310M200US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",345988,1663,208866,2062,157850,1966,137122,1917,5.4,0.3,3.3,0.3,0.9,0.1,9.7,0.6,4.6,0.2,2.1,0.2,0.8,0.1,8.8,0.6,8.9,0.3,5.3,0.3,2.8,0.2,15.0,0.7,8.6,0.3,6.0,0.3,4.4,0.3,12.7,0.6,12.4,0.4,10.1,0.4,8.4,0.4,16.3,0.7,18.9,0.4,19.1,0.5,18.3,0.5,18.2,0.8,13.9,0.4,16.2,0.5,17.8,0.5,9.8,0.5,16.5,0.4,22.1,0.5,26.6,0.6,7.0,0.5,6.3,0.3,9.2,0.4,11.6,0.6,1.5,0.2,4.5,0.2,6.6,0.3,8.5,0.4,1.0,0.2,62283,591,81103,880,95284,870,38287,797,79025,834,97064,1139,111281,1260,48742,920,28.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),27.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),29.5,(X)
310M200US10740,10740,"Albuquerque, NM Metro Area",343434,1799,217748,1850,150186,1984,125686,1661,8.9,0.4,6.0,0.5,2.3,0.3,15.7,0.8,5.7,0.3,4.0,0.3,2.3,0.3,9.2,0.6,12.0,0.4,9.6,0.4,6.6,0.4,17.1,0.7,10.9,0.4,9.7,0.5,7.9,0.5,13.1,0.6,13.6,0.4,12.3,0.5,11.0,0.5,15.4,0.7,17.9,0.5,19.1,0.6,20.3,0.7,14.6,0.8,11.5,0.4,13.8,0.5,16.5,0.6,7.1,0.5,11.7,0.4,15.1,0.5,19.2,0.5,5.3,0.5,4.3,0.2,5.9,0.3,7.8,0.4,1.3,0.2,3.3,0.2,4.4,0.3,6.2,0.4,1.1,0.2,48495,697,60032,821,74578,868,30916,638,65427,672,76707,916,91702,1173,42747,896,30.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),31.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),26.3,(X)
310M200US10780,10780,"Alexandria, LA Metro Area",54871,770,36598,935,25016,816,18273,865,10.1,0.9,6.5,0.9,2.1,0.6,19.1,1.7,7.2,0.7,4.9,0.6,2.8,0.6,12.5,1.7,14.3,1.0,11.7,1.1,6.7,1.2,20.8,2.3,12.5,0.9,11.4,1.0,8.7,1.0,14.1,1.8,14.6,0.9,14.9,1.1,15.5,1.4,13.3,1.7,16.5,1.0,18.0,1.3,20.8,1.6,12.2,1.7,10.2,0.8,13.3,1.0,17.2,1.3,3.6,0.9,9.9,0.8,13.2,1.1,17.9,1.7,2.9,0.9,2.6,0.5,3.3,0.6,4.7,0.9,0.8,0.4,2.1,0.3,2.8,0.4,3.8,0.6,0.6,0.4,40591,1236,50720,1965,66652,2807,23521,1503,55581,1760,65318,2290,79337,2906,33973,1988,28.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),29.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),27.4,(X)
310M200US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",314305,1287,214409,1598,162317,1788,99896,1764,5.0,0.3,3.4,0.3,0.9,0.1,9.9,0.7,4.6,0.2,2.4,0.2,1.2,0.2,9.8,0.6,9.7,0.3,6.2,0.4,3.5,0.3,18.2,0.7,9.5,0.3,7.9,0.4,5.8,0.3,13.6,0.6,13.6,0.3,12.6,0.5,11.4,0.5,15.8,0.7,19.3,0.5,20.1,0.6,20.0,0.6,16.5,0.8,13.8,0.4,16.2,0.5,18.5,0.6,7.5,0.5,14.6,0.4,18.1,0.5,22.2,0.6,5.8,0.5,5.5,0.3,7.1,0.3,9.0,0.4,1.6,0.3,4.5,0.2,5.9,0.3,7.6,0.4,1.2,0.2,58699,644,71539,884,84717,1088,33671,861,76331,917,88733,1203,102264,1476,46241,1088,28.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),29.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),25.9,(X)
310M200US11020,11020,"Altoona, PA Metro Area",51034,552,32758,544,24900,586,18276,582,7.9,0.8,3.9,0.6,1.3,0.4,16.0,2.0,6.8,0.7,3.3,0.6,1.5,0.4,13.7,1.7,13.3,1.0,8.6,0.9,5.8,0.8,23.4,2.1,12.0,0.9,10.6,1.0,8.8,1.0,14.8,1.6,15.2,0.9,15.9,1.1,15.2,1.1,13.5,1.3,19.6,1.1,23.4,1.2,25.6,1.6,11.9,1.7,12.0,0.8,16.1,0.9,18.9,1.2,3.7,0.8,8.7,0.7,11.9,1.0,14.6,1.3,1.9,0.8,2.3,0.4,3.2,0.6,4.1,0.8,0.5,0.3,2.3,0.4,3.3,0.6,4.2,0.8,0.6,0.3,43981,1455,57819,1545,65702,1471,23402,1124,57111,1408,69611,2106,79212,2541,32318,1418,31.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),31.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),29.9,(X)
