"id","site","timestamp","year","place","dataset","exists","digital","public","online","free","machinereadable","bulk","openlicence","uptodate","url","format","licenseurl","dateavailable","officialtitle","publisher","reviewed","reviewResult","reviewComments","details","isCurrent","isOpen","submitter","reviewer","score"
"0e8e5510-c83a-4dc9-b9e3-1b0d20f7b207","us-city","2017-02-18T22:10:14","2017","fortlauderdale","lobbyist","Yes","Yes","Yes","Yes","Yes","No","No",,"Yes","http://www.fortlauderdale.gov/Ethicstrac/Meeting_Log.aspx",,,,"Registered Lobbyist - Consolidated Lobbyist Registration List - Meeting Log","City of Fort Lauderdale - City Clerk Office - Ethics Department","Yes","Yes","Reviewed","Not available in bulk or in machine readable format.  Lobbyist registration is available in PDF format. The main page for the Ethics department is http://fortlauderdale.gov/departments/city-clerk-s-office/lobbyist-information","Yes","No","Yelka Mikolji","Yelka Mikolji","45"
"a3cdde03-ade6-4a53-9d73-3283568dfbcd","us-city","2017-02-18T21:45:17","2017","fortlauderdale","deeds","Yes","Yes","Yes","Yes","Yes","No","No",,"Yes","http://www.broward.org/RecordsTaxesTreasury/Records/Pages/PublicRecordsSearch.aspx",,,,"Search services - Search by name, not by property or legal description","Broward County Records Division","Yes","Yes","Reviewed.","The data is only available through a search portal and is not tied to a property address, but to a person or legal entity which owns the property.  The data is not available in bulk or in machine readable format.","Yes","No","Yelka Mikolji","Yelka Mikolji","45"
"c83167d4-5fa6-4172-8eec-e88aa8b6df89","us-city","2017-02-18T21:35:37","2017","fortlauderdale","parcels","Yes","Yes","Yes","Yes","Yes","Yes","Yes",,"No","http://floridarevenue.com/dor/property/resources/data.html","shapefiles",,,"Florida Property Tax Data Portal - Welcome to the Florida Dept. of Revenue, Property Tax Oversight Data Portal.","Florida Department of Revenue , Property Tax ","Yes","Yes","Reviewed.","The data is provided to the state by the counties on an annual basis, usually in March.","Yes","No","Yelka Mikolji","Yelka Mikolji","60"
"b27ccae7-f481-44c3-8b37-3fbd9e6e30fc","us-city","2017-02-18T21:19:10","2017","fortlauderdale","assessment","Yes","Yes","Yes","Yes","Yes","No","No",,"Yes","http://www.bcpa.net/",,,,"Property Search","Broward County Property Appraiser Office","Yes","Yes","Reviewed.","Data is not available in bulk, and is not machine readable.  Also, shapefiles are not provided.  Not tied to the GIS portal that Fort Lauderdale already has.","Yes","No","Yelka Mikolji","Yelka Mikolji","45"
"3ffbdb0a-7030-4cbd-ae76-8f52350422a7","us-city","2017-02-18T21:05:48","2017","fortlauderdale","construction-permits","Yes","Yes","Yes","Yes","Yes","Yes","No",,"Yes","http://gis.fortlauderdale.gov/bpt/","CSV",,,"Construction permit status or Building Permit Tracker GIS. Search by attribute (Name, Address, etc.) or by creating a shape on a map.","Cty of Fort Lauderdale Department of Sustainable Development","Yes","Yes","Reviewed.","You can search by permit number, owner name, property address, district, neighborhood, or shape on a map.","Yes","No","Yelka Mikolji","Yelka Mikolji","60"
"5e5abe36-31d0-4ad7-893c-163928deca32","us-city","2017-02-18T20:51:27","2017","fortlauderdale","zoning","Yes","Yes","Yes","Yes","Yes","No","No",,"No","http://gis.fortlauderdale.gov/",,,,"Fort Lauderdale GIS -  Our objective is to assist in making your local government more efficient while empowering the Fort Lauderdale and Broward County communities with tools to access information otherwise not easily accessible. We strive to provide the most accurate, timely, and useful information to our communities through user-friendly graphical interfaces.","City of Fort Lauderdale Department of Urban Design and Planning","Yes","Yes","Reviewed.","Even though Fort Lauderdale has a GIS portal, it is not tied to zoning codes.  The only information available on zoning in the GIS portal is a PDF map of the city.  The map is also not timely and up to date, as it dated as of September 16, 2015.","Yes","No","Yelka Mikolji","Yelka Mikolji","35"
"23fc1dc5-dd8b-4f95-8148-a33dcbb28876","us-city","2017-02-18T20:27:18","2017","fortlauderdale","code-enforcement","Yes","Yes","Yes","Yes","Yes","Yes","No",,"Yes","http://gis-it.fortlauderdale.gov/cct/","Excel",,,"Code Compliance - The City of Fort Lauderdale has provided these GIS maps and data sets as a public information resource for the public. ","City of Fort Lauderdale Department of Sustainable Development","Yes","Yes","The information has been verified.","The data is provided through an interface and can be downloaded in excel format only for a specific neighborhood or address and for a specific time period.  It is not available to download in bulk.","Yes","No","Yelka Mikolji","Yelka Mikolji","60"
"cfb499b3-4659-4190-b187-a9de9b3cb046","us-city","2017-02-18T20:14:06","2017","fortlauderdale","business-listings","Yes","Yes","Yes","Yes","Yes","No","No",,"Yes","http://www.fortlauderdale.gov/departments/finance/business-tax",,,,"Business Tax - List of new businesses in the City of Fort Lauderdale","City of Fort Lauderdale. Department of Finance","Yes","Yes","Checked the links and accepted this submission.","Files are available by month and year in PDF format for 2006 to previous month.","Yes","No","Yelka Mikolji","Yelka Mikolji","45"
"909d27fb-8ca8-4bf3-bc19-8eb0ddb9bc23","us-city","2017-02-18T18:43:34","2017","fortlauderdale","crime-stats","Yes","Yes","Yes","Yes","Yes","Yes","Yes",,"Yes","https://fortlauderdale.data.socrata.com/","CSV",,,"Fort Lauderdale Police Department Open Data Portal","Fort Lauderdale Police Department","Yes","Yes","Changes have been accepted.  They have been conferemed during the FLPD Open Data Hackathon.","Could not find terms of use on the portal.  Data source has been notified and they are looking into it.  They have verbally told me that anyone can use and reuse the data as long as they don't sell it.","Yes","No","Yelka Mikolji","Yelka Mikolji","70"
"4536c12c-b008-4080-b01d-c90583fc6318","us-city","2016-05-12T21:15:06","2016","anchorage","code-enforcement","Yes","Yes","Yes","Yes","Yes","Yes","No",,"Yes","https://www.muni.org/Departments/OCPD/development/BSD/Pages/CodeEnforcement.aspx","HTML","http://www.muni.org/Departments/Mayor/Documents/Open%20Data%20Policy.pdf",,,"Municipality of Anchorage - Department of Community Development","Yes","Yes","It is updated on a regular basis.",,"Yes","Yes","Brendan Babb","Brendan Babb","90"
