Region,Country,Country Income Level,Organization Name,Organization Type,Sectors,Description,URL,City,State/Region,Founding Year,Size,Type of Data Used,Advocacy,Advocacy Description,Product/Service,Product/Service Description,Organizational Optimization,Organizational Optimization Description,Research,Research Description,Other,Use - Other Description
East Asia & Pacific,New Zealand,High income,200 Square,For-profit,Housing -  construction & real estate,200 Square is an online real estate agent in New Zealand.,http://www.200square.co.nz/,Wellington,Wellington,2010,1 to 10,Housing -  Education,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,
Europe & Central Asia,United Kingdom,High income,21c Consultancy,For-profit,IT and geospatial,21c is ICT innovation consultancy which advises international actors -  institutions and governments around the world on technological trends which can affect the way they deliver services.,http://www.21cconsultancy.com/,London,,2015,1 to 10,,FALSE,Help cities to Open Data and work smarter and deliver results,FALSE,Launch Open Data projects of Citadel on the Move -  Open Transport Net -  ECIM -  agINFRA -  which provide government connections -  transport-related services -  smarter mobility services -  agricultural industry conncetions.,FALSE,,TRUE,unlocking the fuel for Open Innovation and Smarter Services,FALSE,
Europe & Central Asia,Russian Federation,High income,2GIS,For-profit,IT and geospatial,2GIS is a city information service combined with a map. ,http://2gis.ru,Novosibirsk,Novosibirsk Oblast,1999,1000+,Transportation -  Geospatial -  Business,FALSE,,TRUE,Online maps and navigation use open data on public transport routes -  businesses -  etc,FALSE,,FALSE,,FALSE,
North America,United States,High income,2nd City Zoning,Nonprofit,Housing -  construction & real estate,An Open City App -  2nd City Zoning is an interactive map that lets you find out how your building is zoned -  learn where to locate your business and explore zoning patterns throughout the city.,http://secondcityzoning.org/,Chicago,Illinois,2013,1 to 10,Housing,FALSE,,TRUE,app uses local zoning data to provide an interactive map that lets users find out how their building is zoned -  learn where to locate their business -  and explore zoning patterns throughout the city,FALSE,,FALSE,,FALSE,
North America,United States,High income,3 Round Stones Inc,For-profit,IT and geospatial,3 Round Stones' Open Source platform is used by the Fortune 2000 and US Government Agencies to collect -  publish and reuse data -  both public and proprietary.,http://www.3RoundStones.com,Arlington,Virginia,2010,1 to 10,Weather -  Geospatial -  Demographic and social -  Business -  Environment -  Science and research -  Health/healthcare -  Energy,FALSE,,TRUE,Provides a Linked Data platform called Callimachus Enterprise -  to reduce data silos and make information available for new insights,FALSE,,FALSE,,FALSE,
North America,United States,High income,360 Yield Center,For-profit,Agriculture,Taking a 360-degree view of key yield-limiting variables -  360 Yield Center develops strategies for better-performing crops and better on-farm profits.,http://www.360yieldcenter.com/,Morton,Illinois,2014,51 to 200,Agriculture -  Environment -  Weather,FALSE,,FALSE,,TRUE,Uses weather data and agriculture data to offer new tools that allow you to measure and supply the right amount of N when the plant is ready to use it.,FALSE,,FALSE,
Europe & Central Asia,Denmark,High income,3Strikes - City Stories,For-profit,Arts -  culture and tourism,City Stories provides a platform that allows users to explore local stories and simultaneously contribute their own.,http://www.citystories.dk,Aarhus,Central Denmark Region,2015,1 to 10,Arts and culture,FALSE,,TRUE,The app -  CityStories -  uses open data from the City Archives in Aarhus. It shows stories from the local history based on gps location. ,FALSE,,FALSE,,FALSE,
Europe & Central Asia,Finland,High income,3Tier (Europe) ,For-profit,Energy and climate,3TIER is a global environmental and industrial measurement company providing weather-driven renewable energy risk assessment and forecasting for wind -  solar -  and hydro power projects.,http://www.3tier.com/en/europe/,Helsinki,Uusimaa,2012,11 to 50,Other -  Environment,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,
North America,United States,High income,5PSolutions,For-profit,IT and geospatial,5PSolutions are artisans of mobile platforms.,http://www.5psolutions.com/,Fairfax,Virginia,2007,1 to 10,Environment,FALSE,,TRUE,Provide services such as software development and consulting in the area of Enterprise Content Management using products like EMC Documentum and Alfresco.,FALSE,,FALSE,,FALSE,
North America,United States,High income,AAA National,Other,Transportation and logistics,AAA provides services such as travel -  automotive -  insurance -  financial -  and discounts.,http://AAA.com,Irving,Texas,1902,201 to 1000,Transportation,TRUE,AAA has testified before Congress on the need for better data on car/truck crashes which can serve as the foundation for effective traffic safety solutions.,FALSE,,FALSE,,FALSE,,FALSE,
