"","city_name","msa","odc_score","odc_rank","home_value","construction","ed_health","finance","goods","information","leis_hosp","manufacturing","mining","other_serv","pro_bus","service","trad_trans_util","unclassified"
"1","Albuquerque, NM","Albuquerque, NM MSA",995,24,181800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Anchorage, AK","Anchorage, AK MSA",1430,10,283000,1.28,1.08,0.78,0.65,1.29,1.04,0.16,1.62,1.1,0.84,1.03,1.15,0.5
"3","Ann Arbor, MI","Ann Arbor, MI MSA",770,33,234200,0.39,0.84,0.58,0.6,1.13,0.74,0.8,0.08,0.78,0.93,0.77,0.64,0.56
"4","Asheville, NC","Asheville, NC MSA",1120,20,195800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Athens, GA","Athens-Clarke County, GA MSA",545,52,158600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Atlanta, GA","Atlanta-Sandy Springs-Roswell, GA MSA",1105,21,186300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Austin, TX","Austin-Round Rock, TX MSA",1700,3,241100,1.18,0.76,1.03,0.83,1.42,1.15,0.71,0.39,1.15,1.19,1,0.9,0.2
"8","Baltimore, MD","Baltimore-Columbia-Towson, MD MSA",520,53,290300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Bangor, ME","Bangor, ME MSA",0,94,143100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Baton Rouge, LA","Baton Rouge, LA MSA",1425,11,176400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Birmingham, AL","Birmingham-Hoover, AL MSA",495,58,156900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Blacksburg, VA","Blacksburg-Christiansburg-Radford, VA MSA",265,73,172300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Boise, ID","Boise City, ID MSA",645,44,193100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Boston, MA","Boston-Cambridge-Newton, MA-NH MSA",1370,13,393000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Boulder, CO","Boulder, CO MSA",520,53,416500,0.63,0.89,0.7,0.91,2.32,1.07,1.16,0.3,0.95,1.4,1,0.73,0.13
"16","Bridgeport, CT","Bridgeport-Stamford-Norwalk, CT MSA",0,94,420900,0.65,1.16,1.7,0.75,1.51,0.92,0.91,0.07,1.39,1.13,1.11,0.92,0.23
"17","Burlington, VT","Burlington-South Burlington, VT MSA",80,87,266800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Charlotte, NC","Charlotte-Concord-Gastonia, NC-SC MSA",790,32,173900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Chattanooga, TN","Chattanooga, TN-GA MSA",1350,15,150300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Chicago, IL","Chicago-Naperville-Elgin, IL-IN-WI MSA",1720,2,224300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Cincinnati, OH","Cincinnati, OH-KY-IN MSA",600,47,159200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Cleveland, OH","Cleveland-Elyria, OH MSA",550,51,143100,0.74,1.26,1.06,1.09,0.69,0.92,1.41,0.22,0.95,1,1.01,0.92,0.15
"23","Columbus, OH","Columbus, OH MSA",140,82,166600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Dallas, TX","Dallas-Fort Worth-Arlington, TX MSA",720,37,172500,1.12,0.8,1.44,0.95,1.21,0.98,0.91,0.67,0.87,1.16,1.05,1.12,0.2
"25","Dayton, OH","Dayton, OH MSA",70,88,124500,0.7,1.24,0.81,0.98,1.12,0.97,1.26,0.13,0.89,0.93,0.99,0.93,0.08
"26","Denver, CO","Denver-Aurora-Lakewood, CO MSA",815,30,314400,1.3,0.84,1.28,0.81,1.68,1.04,0.56,0.73,0.99,1.3,1.06,0.97,0.06
"27","Detroit, MI","Detroit-Warren-Dearborn, MI MSA",515,56,151000,0.74,1.05,0.92,1.1,0.68,0.93,1.45,0.11,1,1.4,1.06,0.98,0.97
