"","city_name","area_title","odc_score","info_lq","home_value","pop_est"
"1","Albuquerque, NM","Albuquerque, NM MSA",995,NA,181800,906209
"2","Anchorage, AK","Anchorage, AK MSA",1430,1.29,283000,399790
"3","Ann Arbor, MI","Ann Arbor, MI MSA",770,1.13,234200,358880
"4","Asheville, NC","Asheville, NC MSA",1120,0.51,195800,446840
"5","Athens, GA","Athens-Clarke County, GA MSA",545,0.37,158600,201813
"6","Atlanta, GA","Atlanta-Sandy Springs-Roswell, GA MSA",1105,1.71,186300,5709731
"7","Austin, TX","Austin-Round Rock, TX MSA",1700,1.42,241100,2000860
"8","Baltimore, MD","Baltimore-Columbia-Towson, MD MSA",520,0.62,290300,2797407
"9","Bangor, ME","Bangor, ME MSA",0,0.79,143100,152692
"10","Baton Rouge, LA","Baton Rouge, LA MSA",1425,0.83,176400,830480
"11","Birmingham, AL","Birmingham-Hoover, AL MSA",495,NA,156900,1145647
"12","Blacksburg, VA","Blacksburg-Christiansburg-Radford, VA MSA",265,NA,172300,179904
"13","Boise, ID","Boise City, ID MSA",645,NA,193100,675800
"14","Boston, MA","Boston-Cambridge-Newton, MA-NH MSA",1370,1.54,393000,4774321
"15","Boulder, CO","Boulder, CO MSA",520,2.32,416500,319372
"16","Bridgeport, CT","Bridgeport-Stamford-Norwalk, CT MSA",0,1.51,420900,948053
"17","Burlington, VT","Burlington-South Burlington, VT MSA",80,NA,266800,216661
"18","Charlotte, NC","Charlotte-Concord-Gastonia, NC-SC MSA",790,NA,173900,2426363
"19","Chattanooga, TN","Chattanooga, TN-GA MSA",1350,0.64,150300,546351
"20","Chicago, IL","Chicago-Naperville-Elgin, IL-IN-WI MSA",1720,NA,224300,9550108
"21","Cincinnati, OH","Cincinnati, OH-KY-IN MSA",600,0.65,159200,2159329
"22","Cleveland, OH","Cleveland-Elyria, OH MSA",550,0.69,143100,2060810
"23","Columbus, OH","Columbus, OH MSA",140,NA,166600,2021632
"24","Dallas, TX","Dallas-Fort Worth-Arlington, TX MSA",720,1.21,172500,7102165
"25","Dayton, OH","Dayton, OH MSA",70,1.12,124500,800909
"26","Denver, CO","Denver-Aurora-Lakewood, CO MSA",815,1.68,314400,2814330
"27","Detroit, MI","Detroit-Warren-Dearborn, MI MSA",515,0.68,151000,4302043
"28","Durham, NC","Durham-Chapel Hill, NC MSA",240,0.8,204700,552493
"29","Gainesville, FL","Gainesville, FL MSA",200,0.58,164400,276881
"30","Grand Rapids, MI","Grand Rapids-Wyoming, MI MSA",165,0.47,151300,1038583
"31","Greenville, NC","Greenville, NC MSA",0,0.6,138200,175842
"32","Hartford, CT","Hartford-West Hartford-East Hartford, CT MSA",1100,0.98,247000,1211324
"33","Houston, TX","Houston-The Woodlands-Sugar Land, TX MSA",235,NA,168300,6656946
"34","Huntsville, AL","Huntsville, AL MSA",0,0.61,171800,444752
"35","Jacksonville, FL","Jacksonville, FL MSA",195,0.73,172800,1449481
"36","Kansas City, MO","Kansas City, MO-KS MSA",1190,NA,164700,2088269
"37","Lexington, KY","Lexington-Fayette, KY MSA",255,1.01,167800,500535
"38","Lincoln, NE","Lincoln, NE MSA",385,0.75,163600,323557
"39","Long Beach, CA","Los Angeles-Long Beach-Anaheim, CA MSA",290,2.01,540600,13340068
"40","Los Angeles, CA","Los Angeles-Long Beach-Anaheim, CA MSA",1670,2.01,540600,13340068
"41","Louisville, KY","Louisville/Jefferson County, KY-IN MSA",1305,NA,154000,1279335
"42","Madison, WI","Madison, WI MSA",470,2.16,228500,641385
"43","Fort Lauderdale, FL","Miami-Fort Lauderdale-West Palm Beach, FL MSA",595,0.96,241700,6012331
