"","area_fips","area_title","construction_lq","ed.health_lq","finance_lq","goods_lq","info_lq","leis.hosp_lq","manufacturing_lq","mining_lq","other.serv_lq","pro.bus_lq","pub.admin_lq","service_lq","trade.trans.util_lq","unclassified_lq"
"1","C1018","Abilene, TX MSA",1.21,1.24,0.92,0.86,0.9,1.1,0.5,1.98,0.99,0.58,NA,0.98,1.03,0.1
"2","C1038","Aguadilla-Isabela, PR MSA",0.51,0.71,0.49,1.28,0.47,0.76,1.34,3.38,0.29,0.5,NA,0.71,0.99,NA
"3","C1042","Akron, OH MSA",0.81,1.11,0.73,1.11,0.64,0.94,1.43,0.14,1.01,1.12,NA,1.02,1.05,0.1
"4","C1050","Albany, GA MSA",NA,1.04,0.6,0.91,0.68,0.91,NA,1.25,1.01,NA,NA,0.94,1.03,NA
"5","C1054","Albany, OR MSA",1.23,0.83,0.52,1.89,0.41,0.71,1.9,3.95,1.34,0.52,NA,0.8,1.06,0.07
"6","C1058","Albany-Schenectady-Troy, NY MSA",0.92,1.22,1.03,0.7,0.96,0.82,0.66,0.27,1.18,0.85,NA,0.96,0.88,0.98
"7","C1074","Albuquerque, NM MSA",1.18,1.04,NA,0.68,NA,1.07,0.51,0.15,0.84,1.09,NA,0.99,0.9,NA
"8","C1078","Alexandria, LA MSA",1.17,1.34,0.6,0.99,NA,0.82,0.93,0.79,NA,0.69,NA,0.91,0.94,0.07
"9","C1090","Allentown-Bethlehem-Easton, PA-NJ MSA",0.74,1.33,0.72,0.97,0.84,0.95,1.2,0.29,0.94,0.94,NA,1.06,1.15,0.28
"10","C1102","Altoona, PA MSA",0.95,1.36,0.47,1.21,0.73,0.85,1.46,0.53,1.15,0.6,NA,0.99,1.21,NA
"11","C1110","Amarillo, TX MSA",1.18,NA,0.95,1.2,NA,NA,1.27,0.9,1.02,0.58,NA,0.93,1.13,NA
"12","C1118","Ames, IA MSA",1.11,0.6,0.57,1.09,0.65,1.02,1.11,0.95,0.7,0.79,NA,0.76,0.78,NA
"13","C1126","Anchorage, AK MSA",1.28,1.08,0.78,0.65,1.29,1.04,0.16,1.62,1.1,0.84,NA,1.03,1.15,0.5
"14","C1130","Anderson, IN MSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","C1134","Anderson, SC MSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","C1146","Ann Arbor, MI MSA",0.39,0.84,0.58,0.6,1.13,0.74,0.8,0.08,0.78,0.93,NA,0.77,0.64,0.56
"17","C1150","Anniston-Oxford-Jacksonville, AL MSA",0.39,0.73,0.55,1.06,0.61,1.02,1.54,0.26,0.71,0.67,NA,0.82,1.02,NA
