GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
310M200US10180,10180,"Abilene, TX Metro Area",168922,2568
310M200US10420,10420,"Akron, OH Metro Area",704243,*****
310M200US10500,10500,"Albany, GA Metro Area",156997,2018
310M200US10540,10540,"Albany, OR Metro Area",120547,*****
310M200US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",881830,*****
310M200US10740,10740,"Albuquerque, NM Metro Area",906209,2370
310M200US10780,10780,"Alexandria, LA Metro Area",154484,*****
310M200US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",832327,*****
310M200US11020,11020,"Altoona, PA Metro Area",125593,*****
310M200US11100,11100,"Amarillo, TX Metro Area",263258,1646
310M200US11180,11180,"Ames, IA Metro Area",96021,*****
310M200US11260,11260,"Anchorage, AK Metro Area",399790,*****
310M200US11460,11460,"Ann Arbor, MI Metro Area",358880,*****
310M200US11500,11500,"Anniston-Oxford-Jacksonville, AL Metro Area",115620,*****
310M200US11540,11540,"Appleton, WI Metro Area",233007,*****
310M200US11700,11700,"Asheville, NC Metro Area",446840,*****
310M200US12020,12020,"Athens-Clarke County, GA Metro Area",201813,2323
310M200US12060,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",5709731,3035
310M200US12100,12100,"Atlantic City-Hammonton, NJ Metro Area",274219,*****
310M200US12220,12220,"Auburn-Opelika, AL Metro Area",156993,*****
310M200US12260,12260,"Augusta-Richmond County, GA-SC Metro Area",590772,1617
310M200US12420,12420,"Austin-Round Rock, TX Metro Area",2000860,*****
310M200US12540,12540,"Bakersfield, CA Metro Area",882176,*****
310M200US12580,12580,"Baltimore-Columbia-Towson, MD Metro Area",2797407,*****
310M200US12620,12620,"Bangor, ME Metro Area",152692,*****
310M200US12700,12700,"Barnstable Town, MA Metro Area",214333,*****
310M200US12940,12940,"Baton Rouge, LA Metro Area",830480,*****
310M200US12980,12980,"Battle Creek, MI Metro Area",134314,*****
310M200US13020,13020,"Bay City, MI Metro Area",105659,*****
310M200US13140,13140,"Beaumont-Port Arthur, TX Metro Area",408216,2161
310M200US13220,13220,"Beckley, WV Metro Area",122507,*****
310M200US13380,13380,"Bellingham, WA Metro Area",212284,*****
310M200US13460,13460,"Bend-Redmond, OR Metro Area",175268,*****
310M200US13740,13740,"Billings, MT Metro Area",169329,1141
310M200US13780,13780,"Binghamton, NY Metro Area",246020,*****
310M200US13820,13820,"Birmingham-Hoover, AL Metro Area",1145647,*****
310M200US13900,13900,"Bismarck, ND Metro Area",129640,788
310M200US13980,13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",179904,3413
310M200US14010,14010,"Bloomington, IL Metro Area",188725,1461
310M200US14020,14020,"Bloomington, IN Metro Area",165577,*****
310M200US14100,14100,"Bloomsburg-Berwick, PA Metro Area",85229,*****
310M200US14260,14260,"Boise City, ID Metro Area",675800,2966
310M200US14460,14460,"Boston-Cambridge-Newton, MA-NH Metro Area",4774321,*****
310M200US14500,14500,"Boulder, CO Metro Area",319372,*****
310M200US14540,14540,"Bowling Green, KY Metro Area",166890,2367
310M200US14740,14740,"Bremerton-Silverdale, WA Metro Area",260131,*****
310M200US14860,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",948053,*****
310M200US15180,15180,"Brownsville-Harlingen, TX Metro Area",422156,*****
310M200US15260,15260,"Brunswick, GA Metro Area",117771,3423
310M200US15380,15380,"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",1135230,*****
310M200US15500,15500,"Burlington, NC Metro Area",158276,*****
310M200US15540,15540,"Burlington-South Burlington, VT Metro Area",216661,714
310M200US15680,15680,"California-Lexington Park, MD Metro Area",111413,*****
310M200US15940,15940,"Canton-Massillon, OH Metro Area",402976,*****
310M200US15980,15980,"Cape Coral-Fort Myers, FL Metro Area",701982,*****
310M200US16020,16020,"Cape Girardeau, MO-IL Metro Area",96542,2172
310M200US16060,16060,"Carbondale-Marion, IL Metro Area",126828,*****
310M200US16180,16180,"Carson City, NV Metro Area",54521,*****
310M200US16220,16220,"Casper, WY Metro Area",82178,*****
310M200US16300,16300,"Cedar Rapids, IA Metro Area",266040,*****
310M200US16540,16540,"Chambersburg-Waynesboro, PA Metro Area",153638,*****
310M200US16580,16580,"Champaign-Urbana, IL Metro Area",239672,1461
310M200US16620,16620,"Charleston, WV Metro Area",219236,1739
310M200US16700,16700,"Charleston-North Charleston, SC Metro Area",744526,*****
310M200US16740,16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2426363,*****
310M200US16820,16820,"Charlottesville, VA Metro Area",230602,2719
310M200US16860,16860,"Chattanooga, TN-GA Metro Area",546351,3449
310M200US16940,16940,"Cheyenne, WY Metro Area",97121,*****
310M200US16980,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",9550108,1575
310M200US17020,17020,"Chico, CA Metro Area",225411,*****
310M200US17140,17140,"Cincinnati, OH-KY-IN Metro Area",2159329,3039
310M200US17300,17300,"Clarksville, TN-KY Metro Area",279887,2316
310M200US17420,17420,"Cleveland, TN Metro Area",121678,1953
310M200US17460,17460,"Cleveland-Elyria, OH Metro Area",2060810,*****
310M200US17660,17660,"Coeur d'Alene, ID Metro Area",150346,*****
310M200US17780,17780,"College Station-Bryan, TX Metro Area",250145,2885
310M200US17820,17820,"Colorado Springs, CO Metro Area",697856,*****
310M200US17860,17860,"Columbia, MO Metro Area",174974,*****
310M200US17900,17900,"Columbia, SC Metro Area",810574,2027
310M200US17980,17980,"Columbus, GA-AL Metro Area",312936,2415
310M200US18020,18020,"Columbus, IN Metro Area",81162,*****
310M200US18140,18140,"Columbus, OH Metro Area",2021632,*****
310M200US18580,18580,"Corpus Christi, TX Metro Area",450436,2923
310M200US18700,18700,"Corvallis, OR Metro Area",87572,*****
310M200US18880,18880,"Crestview-Fort Walton Beach-Destin, FL Metro Area",262172,*****
310M200US19060,19060,"Cumberland, MD-WV Metro Area",99979,*****
310M200US19100,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",7102165,2017
310M200US19140,19140,"Dalton, GA Metro Area",143781,*****
310M200US19180,19180,"Danville, IL Metro Area",79282,*****
310M200US19300,19300,"Daphne-Fairhope-Foley, AL Metro Area",203709,*****
310M200US19340,19340,"Davenport-Moline-Rock Island, IA-IL Metro Area",384584,991
310M200US19380,19380,"Dayton, OH Metro Area",800909,*****
310M200US19460,19460,"Decatur, AL Metro Area",152680,*****
310M200US19500,19500,"Decatur, IL Metro Area",107303,*****
310M200US19660,19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",623279,*****
310M200US19740,19740,"Denver-Aurora-Lakewood, CO Metro Area",2814330,*****
310M200US19780,19780,"Des Moines-West Des Moines, IA Metro Area",622899,*****
