"area_fips","area_title","info_lq"
"C1018","Abilene, TX MSA",0.9
"C1038","Aguadilla-Isabela, PR MSA",0.47
"C1042","Akron, OH MSA",0.64
"C1050","Albany, GA MSA",0.68
"C1054","Albany, OR MSA",0.41
"C1058","Albany-Schenectady-Troy, NY MSA",0.96
"C1074","Albuquerque, NM MSA",NA
"C1078","Alexandria, LA MSA",NA
"C1090","Allentown-Bethlehem-Easton, PA-NJ MSA",0.84
"C1102","Altoona, PA MSA",0.73
"C1110","Amarillo, TX MSA",NA
"C1118","Ames, IA MSA",0.65
"C1126","Anchorage, AK MSA",1.29
"C1130","Anderson, IN MSA",NA
"C1134","Anderson, SC MSA",NA
"C1146","Ann Arbor, MI MSA",1.13
"C1150","Anniston-Oxford-Jacksonville, AL MSA",0.61
"C1154","Appleton, WI MSA",0.64
"C1164","Arecibo, PR MSA",NA
"C1170","Asheville, NC MSA",0.51
"C1202","Athens-Clarke County, GA MSA",0.37
"C1206","Atlanta-Sandy Springs-Roswell, GA MSA",1.71
"C1210","Atlantic City-Hammonton, NJ MSA",0.31
"C1222","Auburn-Opelika, AL MSA",0.44
"C1226","Augusta-Richmond County, GA-SC MSA",0.68
"C1242","Austin-Round Rock, TX MSA",1.42
"C1254","Bakersfield, CA MSA",0.43
"C1258","Baltimore-Columbia-Towson, MD MSA",0.62
"C1262","Bangor, ME MSA",0.79
"C1270","Barnstable Town, MA MSA",0.76
"C1294","Baton Rouge, LA MSA",0.83
"C1298","Battle Creek, MI MSA",0.4
"C1302","Bay City, MI MSA",0.7
"C1314","Beaumont-Port Arthur, TX MSA",NA
"C1322","Beckley, WV MSA",0.62
"C1338","Bellingham, WA MSA",0.75
"C1346","Bend-Redmond, OR MSA",1.16
"C1374","Billings, MT MSA",0.81
"C1378","Binghamton, NY MSA",0.87
"C1382","Birmingham-Hoover, AL MSA",NA
"C1390","Bismarck, ND MSA",0.63
"C1398","Blacksburg-Christiansburg-Radford, VA MSA",NA
"C1401","Bloomington, IL MSA",0.42
"C1402","Bloomington, IN MSA",NA
"C1406","Bloomington-Normal, IL MSA",NA
"C1410","Bloomsburg-Berwick, PA MSA",NA
"C1426","Boise City, ID MSA",NA
"C1446","Boston-Cambridge-Newton, MA-NH MSA",1.54
"C1450","Boulder, CO MSA",2.32
"C1454","Bowling Green, KY MSA",NA
"C1474","Bremerton-Silverdale, WA MSA",0.76
"C1486","Bridgeport-Stamford-Norwalk, CT MSA",1.51
"C1498","Bristol, VA MSA",NA
"C1518","Brownsville-Harlingen, TX MSA",0.44
"C1526","Brunswick, GA MSA",0.55
"C1538","Buffalo-Cheektowaga-Niagara Falls, NY MSA",0.67
"C1550","Burlington, NC MSA",0.41
"C1554","Burlington-South Burlington, VT MSA",NA
"C1568","California-Lexington Park, MD MSA",0.2
"C1594","Canton-Massillon, OH MSA",0.49
"C1598","Cape Coral-Fort Myers, FL MSA",0.65
"C1602","Cape Girardeau, MO-IL MSA",NA
"C1606","Carbondale-Marion, IL MSA",0.77
"C1618","Carson City, NV MSA",0.42
"C1622","Casper, WY MSA",0.52
"C1630","Cedar Rapids, IA MSA",1.61
"C1654","Chambersburg-Waynesboro, PA MSA",0.32
"C1658","Champaign-Urbana, IL MSA",NA
"C1662","Charleston, WV MSA",0.81
"C1670","Charleston-North Charleston, SC MSA",0.82
"C1674","Charlotte-Concord-Gastonia, NC-SC MSA",NA
"C1682","Charlottesville, VA MSA",NA
"C1686","Chattanooga, TN-GA MSA",0.64
"C1694","Cheyenne, WY MSA",1.29
"C1698","Chicago-Naperville-Elgin, IL-IN-WI MSA",NA
"C1702","Chico, CA MSA",0.67
"C1714","Cincinnati, OH-KY-IN MSA",0.65
"C1730","Clarksville, TN-KY MSA",0.69
"C1742","Cleveland, TN MSA",0.33
"C1746","Cleveland-Elyria, OH MSA",0.69
"C1766","Coeur d'Alene, ID MSA",0.49
"C1778","College Station-Bryan, TX MSA",0.62
"C1782","Colorado Springs, CO MSA",1.26
"C1786","Columbia, MO MSA",0.72
"C1790","Columbia, SC MSA",NA
"C1798","Columbus, GA-AL MSA",0.6
"C1802","Columbus, IN MSA",0.43
"C1814","Columbus, OH MSA",NA
"C1858","Corpus Christi, TX MSA",0.54
"C1870","Corvallis, OR MSA",0.82
"C1888","Crestview-Fort Walton Beach-Destin, FL MSA",0.45
"C1906","Cumberland, MD-WV MSA",1.24
"C1910","Dallas-Fort Worth-Arlington, TX MSA",1.21
"C1914","Dalton, GA MSA",NA
"C1918","Danville, IL MSA",0.41
"C1930","Daphne-Fairhope-Foley, AL MSA",0.25
"C1934","Davenport-Moline-Rock Island, IA-IL MSA",0.63
"C1938","Dayton, OH MSA",1.12
"C1946","Decatur, AL MSA",NA
"C1950","Decatur, IL MSA",0.6
"C1966","Deltona-Daytona Beach-Ormond Beach, FL MSA",0.68
"C1974","Denver-Aurora-Lakewood, CO MSA",1.68
"C1978","Des Moines-West Des Moines, IA MSA",0.97
"C1982","Detroit-Warren-Dearborn, MI MSA",0.68
"C2002","Dothan, AL MSA",NA
"C2010","Dover, DE MSA",0.3
"C2022","Dubuque, IA MSA",0.77
"C2026","Duluth, MN-WI MSA",0.56
"C2050","Durham-Chapel Hill, NC MSA",0.8
"C2070","East Stroudsburg, PA MSA",0.25
"C2074","Eau Claire, WI MSA",0.59
"C2094","El Centro, CA MSA",0.25
"C2106","Elizabethtown-Fort Knox, KY MSA",NA
"C2114","Elkhart-Goshen, IN MSA",0.2
"C2130","Elmira, NY MSA",0.55
"C2134","El Paso, TX MSA",NA
"C2150","Erie, PA MSA",0.43
"C2166","Eugene, OR MSA",1.11
"C2178","Evansville, IN-KY MSA",0.54
"C2182","Fairbanks, AK MSA",0.66
"C2194","Fajardo, PR MSA",NA
"C2202","Fargo, ND-MN MSA",1.18
"C2214","Farmington, NM MSA",0.21
"C2218","Fayetteville, NC MSA",0.56
"C2222","Fayetteville-Springdale-Rogers, AR-MO MSA",0.45
"C2238","Flagstaff, AZ MSA",0.38
"C2242","Flint, MI MSA",1.46
"C2246","Florence, AL MSA",NA
"C2250","Florence, SC MSA",0.54
"C2252","Florence-Muscle Shoals, AL MSA",0.39
"C2254","Fond du Lac, WI MSA",1.07
"C2266","Fort Collins, CO MSA",0.94
"C2290","Fort Smith, AR-OK MSA",0.55
"C2302","Fort Walton Beach-Crestview-Destin, FL MSA",NA
"C2306","Fort Wayne, IN MSA",NA
"C2342","Fresno, CA MSA",0.54
"C2346","Gadsden, AL MSA",0.45
"C2354","Gainesville, FL MSA",0.58
"C2358","Gainesville, GA MSA",0.4
"C2390","Gettysburg, PA MSA",0.4
"C2402","Glens Falls, NY MSA",0.83
"C2414","Goldsboro, NC MSA",0.52
"C2422","Grand Forks, ND-MN MSA",0.57
"C2426","Grand Island, NE MSA",0.52
