"area_fips","area_title","construction_lq","ed.health_lq","finance_lq","goods_lq","info_lq","leis.hosp_lq","manufacturing_lq","mining_lq","other.serv_lq","pro.bus_lq","pub.admin_lq","service_lq","trade.trans.util_lq","unclassified_lq"
"C1018","Abilene, TX MSA",1.21,1.24,0.92,0.86,0.9,1.1,0.5,1.98,0.99,0.58,NA,0.98,1.03,0.1
"C1042","Akron, OH MSA",0.81,1.11,0.73,1.11,0.64,0.94,1.43,0.14,1.01,1.12,NA,1.02,1.05,0.1
"C1054","Albany, OR MSA",1.23,0.83,0.52,1.89,0.41,0.71,1.9,3.95,1.34,0.52,NA,0.8,1.06,0.07
"C1058","Albany-Schenectady-Troy, NY MSA",0.92,1.22,1.03,0.7,0.96,0.82,0.66,0.27,1.18,0.85,NA,0.96,0.88,0.98
"C1090","Allentown-Bethlehem-Easton, PA-NJ MSA",0.74,1.33,0.72,0.97,0.84,0.95,1.2,0.29,0.94,0.94,NA,1.06,1.15,0.28
"C1126","Anchorage, AK MSA",1.28,1.08,0.78,0.65,1.29,1.04,0.16,1.62,1.1,0.84,NA,1.03,1.15,0.5
"C1146","Ann Arbor, MI MSA",0.39,0.84,0.58,0.6,1.13,0.74,0.8,0.08,0.78,0.93,NA,0.77,0.64,0.56
"C1210","Atlantic City-Hammonton, NJ MSA",0.9,1,0.52,0.48,0.31,2.78,0.19,0.97,0.96,0.53,NA,1.09,0.89,0.34
"C1226","Augusta-Richmond County, GA-SC MSA",1.1,0.92,0.57,1.04,0.68,1.04,1.08,0.62,0.82,1.03,NA,0.93,0.94,0.69
"C1242","Austin-Round Rock, TX MSA",1.18,0.76,1.03,0.83,1.42,1.15,0.71,0.39,1.15,1.19,NA,1,0.9,0.2
"C1254","Bakersfield, CA MSA",1.14,0.69,0.48,2.17,0.43,0.73,0.51,15.63,0.67,0.59,NA,0.7,0.84,1.66
"C1298","Battle Creek, MI MSA",0.62,1.2,0.37,1.63,0.4,0.75,2.37,0.37,0.83,0.7,NA,0.82,0.83,0.57
