"","city_name","msa","odc_score","odc_rank","home_value","construction","ed_health","finance","goods","information","leis_hosp","manufacturing","mining","other_serv","pro_bus","service","trad_trans_util","unclassified"
"2","Anchorage, AK","Anchorage, AK MSA",1430,10,283000,1.28,1.08,0.78,0.65,1.29,1.04,0.16,1.62,1.1,0.84,1.03,1.15,0.5
"3","Ann Arbor, MI","Ann Arbor, MI MSA",770,33,234200,0.39,0.84,0.58,0.6,1.13,0.74,0.8,0.08,0.78,0.93,0.77,0.64,0.56
"7","Austin, TX","Austin-Round Rock, TX MSA",1700,3,241100,1.18,0.76,1.03,0.83,1.42,1.15,0.71,0.39,1.15,1.19,1,0.9,0.2
"15","Boulder, CO","Boulder, CO MSA",520,53,416500,0.63,0.89,0.7,0.91,2.32,1.07,1.16,0.3,0.95,1.4,1,0.73,0.13
"22","Cleveland, OH","Cleveland-Elyria, OH MSA",550,51,143100,0.74,1.26,1.06,1.09,0.69,0.92,1.41,0.22,0.95,1,1.01,0.92,0.15
"24","Dallas, TX","Dallas-Fort Worth-Arlington, TX MSA",720,37,172500,1.12,0.8,1.44,0.95,1.21,0.98,0.91,0.67,0.87,1.16,1.05,1.12,0.2
"25","Dayton, OH","Dayton, OH MSA",70,88,124500,0.7,1.24,0.81,0.98,1.12,0.97,1.26,0.13,0.89,0.93,0.99,0.93,0.08
"26","Denver, CO","Denver-Aurora-Lakewood, CO MSA",815,30,314400,1.3,0.84,1.28,0.81,1.68,1.04,0.56,0.73,0.99,1.3,1.06,0.97,0.06
"27","Detroit, MI","Detroit-Warren-Dearborn, MI MSA",515,56,151000,0.74,1.05,0.92,1.1,0.68,0.93,1.45,0.11,1,1.4,1.06,0.98,0.97
"29","Gainesville, FL","Gainesville, FL MSA",200,78,164400,0.79,1.23,0.86,0.56,0.58,1.05,0.39,0.8,0.85,0.68,0.9,0.78,0.1
"30","Grand Rapids, MI","Grand Rapids-Wyoming, MI MSA",165,81,151300,0.84,1.04,0.75,1.77,0.47,0.81,2.38,0.97,1,1.06,0.94,0.92,0.59
"35","Jacksonville, FL","Jacksonville, FL MSA",195,79,172800,1.22,1.02,1.65,0.71,0.73,1.19,0.54,0.15,0.93,1.06,1.11,1.08,0.25
"37","Lexington, KY","Lexington-Fayette, KY MSA",255,74,167800,0.93,0.81,0.63,1.2,1.01,1.07,1.33,1.23,0.78,1.01,0.92,0.97,0.13
"39","Long Beach, CA","Los Angeles-Long Beach-Anaheim, CA MSA",290,71,540600,0.81,1.06,1.02,0.86,2.01,1.1,1.01,0.14,1.07,1.09,1.07,0.96,3.47
"40","Los Angeles, CA","Los Angeles-Long Beach-Anaheim, CA MSA",1670,5,540600,0.81,1.06,1.02,0.86,2.01,1.1,1.01,0.14,1.07,1.09,1.07,0.96,3.47
"42","Madison, WI","Madison, WI MSA",470,60,228500,0.88,0.77,1.1,0.93,2.16,0.89,1.02,0.55,1.04,0.92,0.93,0.89,0
"43","Fort Lauderdale, FL","Miami-Fort Lauderdale-West Palm Beach, FL MSA",595,48,241700,0.99,0.98,1.23,0.58,0.96,1.17,0.39,0.46,1.26,1.11,1.13,1.22,0.58
"49","Jersey City, NJ","New York-Newark-Jersey City, NY-NJ-PA MSA",435,61,414000,0.86,1.24,1.47,0.55,1.51,0.89,0.46,0.07,1.3,1.11,1.12,0.97,2.64
"53","Mesa, AZ","Phoenix-Mesa-Scottsdale, AZ MSA",935,26,219100,1.13,0.98,1.53,0.82,0.96,1.02,0.72,0.44,0.88,1.19,1.09,1.03,1.95
"56","Portland, OR","Portland-Vancouver-Hillsboro, OR-WA MSA",710,38,303100,1.08,0.93,0.95,1.16,1.09,0.95,1.26,0.86,1.28,1.09,1,0.97,0.07
"58","Raleigh, NC","Raleigh, NC MSA",730,35,225000,1.26,0.79,0.91,0.82,1.75,1.05,0.68,0.24,0.95,1.37,1.03,0.95,0
"60","Sacramento, CA","Sacramento--Roseville--Arden-Arcade, CA MSA",1365,14,339900,1.17,0.98,0.97,0.7,0.69,0.95,0.44,0.74,0.98,0.93,0.91,0.82,2.22
"61","Salt Lake City, UT","Salt Lake City, UT MSA",1065,23,251200,1.12,0.75,1.44,0.93,1.3,0.8,0.93,0.32,0.87,1.25,1.02,1.06,0.07
"62","San Antonio, TX","San Antonio-New Braunfels, TX MSA",635,46,151400,1.13,1,1.47,0.75,1.13,1.2,0.55,0.72,0.93,0.9,1.03,0.92,0.14
"63","San Diego, CA","San Diego-Carlsbad, CA MSA",1510,9,485900,1.09,0.9,0.92,0.9,0.87,1.23,0.86,0.48,1.17,1.19,1.01,0.83,3.02
"64","San Francisco, CA","San Francisco-Oakland-Hayward, CA MSA",1675,4,718400,1.06,0.95,1.02,0.72,1.9,1.05,0.64,0.14,1.21,1.45,1.09,0.84,3.08
"65","Oakland, CA","San Francisco-Oakland-Hayward, CA MSA",560,49,718400,1.06,0.95,1.02,0.72,1.9,1.05,0.64,0.14,1.21,1.45,1.09,0.84,3.08
"68","Seattle, WA","Seattle-Tacoma-Bellevue, WA MSA",1410,12,361500,1.2,0.87,0.89,1.08,2.69,0.92,1.15,0.2,1.05,1.02,1,0.99,0
"72","Toledo, OH","Toledo, OH MSA",50,91,118700,0.92,1.12,0.58,1.33,0.5,1.03,1.71,0.28,0.99,0.87,0.95,1,0.07
"75","Honolulu, HI","Urban Honolulu, HI MSA",35,93,629900,1.19,0.89,0.78,0.56,0.79,1.36,0.27,0.33,1.37,1.03,1.01,0.95,0
