"","x"
"1",""
"2","albuquerque"
"3","anchorage"
"4","ann-arbor"
"5","arlington"
"6","asheville"
"7","athensga"
"8","atlanta"
"9","austin"
"10","baltimore"
"11","bangor"
"12","batonrouge"
"13","bellca"
"14","birmingham"
"15","blacksburg"
"16","boise"
"17","boston"
"18","boulder"
"19","burbankca"
"20","burlington"
"21","calabasas"
"22","cary"
"23","charlotte"
"24","chattanooga"
"25","chesapeakeva"
"26","chicago"
"27","cincinnati"
"28","cleveland"
"29","columbus"
"30","culvercity"
"31","dallas"
"32","dayton"
"33","denton"
"34","denver"
"35","detroit"
"36","durham"
"37","elsegundo"
"38","evanston"
"39","fallschurch"
"40","fortlauderdale"
"41","gainesville"
"42","glendaleca"
"43","grandrapids"
"44","hamptonva"
"45","hartford"
"46","honolulu"
"47","houston"
"48","jacksonville"
"49","jerseycity"
"50","kansascitymo"
"51","lexington"
"52","lincolnne"
"53","longbeach"
"54","longbeachca"
"55","losangeles"
"56","louisville"
"57","madisonwi"
"58","manhattanbeach"
"59","mesa"
"60","miami"
"61","minneapolis"
"62","nashville"
"63","neworleans"
"64","newportnews"
"65","newyorkcity"
"66","norfolk"
"67","oakland"
"68","oklahoma city"
"69","pasadena"
"70","philly"
"71","pittsburgh"
"72","portlandor"
"73","portsmouthva"
"74","princeton"
"75","providence"
"76","raleigh"
"77","richmond"
"78","sacramento"
"79","sanantonio"
"80","sandiego"
"81","sanfrancisco"
"82","sanjose"
"83","santaclarita"
"84","santamonica"
"85","seattle"
"86","slc"
"87","spartanburgsc"
"88","stcloud"
"89","stlouis"
"90","suffolkva"
"91","toledo"
"92","tulsa"
"93","tuscaloosa"
"94","vabeach"
"95","vegas"
"96","washingtondc"
"97","westcovina"
"98","westhollywood"
"99","williamsburg"
