"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","5","1013","53","0","2015","A","",5141,257838,13801176912,2451926233,55528133,1029,53526,"",1.21,1.55,1.54,1.47,1.49,1.00,1.00,"",124,2.5,5017,2.0,432265249,3.2,62091907,2.6,-5805333,-9.5,12,1.2,647,1.2
"01001","5","1013","73","0","2015","A","",32,1434,87849497,14075243,256719,1178,61265,"",1.06,1.54,2.21,1.71,1.52,1.43,1.44,"",2,6.7,100,7.5,4252525,5.1,2281311,19.3,26138,11.3,-27,-2.2,-1394,-2.2
"01003","5","1013","73","0","2015","A","",177,4063,185355622,37070595,913281,877,45616,"",0.88,0.68,0.76,0.58,0.70,1.11,1.11,"",7,4.1,129,3.3,6669115,3.7,1711976,4.8,-18295,-2.0,3,0.3,193,0.4
"01005","5","1013","73","0","2015","A","",27,2213,88629631,20998171,562174,770,40057,"",1.35,3.06,2.88,2.93,3.24,0.94,0.94,"",1,3.8,12,0.5,5111277,6.1,-50415,-0.2,-12385,-2.2,40,5.5,2119,5.6
"01007","5","1013","73","0","2015","A","",20,370,15560539,3298702,51280,808,42018,"",1.65,1.03,0.95,1.04,0.67,0.92,0.92,"",0,0.0,-5,-1.3,212585,1.4,-121887,-3.6,-32057,-38.5,20,2.5,1063,2.6
"01009","5","1013","73","0","2015","A","",48,1203,44012166,11227241,167671,704,36590,"",1.83,1.69,1.53,1.78,1.52,0.91,0.91,"",4,9.1,-15,-1.2,-1234316,-2.7,-408390,-3.5,-164165,-49.5,-11,-1.5,-573,-1.5
"01011","5","1013","73","0","2015","A","N",5,0,0,0,0,0,0,"N",0.96,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","1013","73","0","2015","A","",21,1311,55173071,12605263,376738,810,42098,"",1.23,2.17,2.31,1.95,2.17,1.06,1.06,"",1,5.0,2,0.2,1416932,2.6,-294508,-2.3,-28859,-7.1,20,2.5,1031,2.5
"01015","5","1013","73","0","2015","A","",132,5924,280483232,53939539,1191690,911,47350,"",1.49,1.54,1.63,1.61,1.62,1.06,1.06,"",3,2.3,59,1.0,5167104,1.9,241791,0.5,-564104,-32.1,8,0.9,410,0.9
"01017","5","1013","73","0","2015","A","",27,1737,81700109,17739190,456094,904,47033,"",1.28,2.45,2.74,2.64,3.10,1.12,1.12,"",0,0.0,363,26.4,20546271,33.6,3905093,28.2,167435,58.0,48,5.6,2525,5.7
"01019","5","1013","73","0","2015","A","",24,1013,39878772,11153343,465172,757,39351,"",1.63,2.27,2.23,2.60,3.75,0.98,0.98,"",1,4.3,-57,-5.3,-1704091,-4.1,1355108,13.8,24704,5.6,9,1.2,473,1.2
"01021","5","1013","73","0","2015","A","",47,2043,86812482,18626485,612688,817,42498,"",1.74,2.51,2.55,2.27,3.18,1.02,1.02,"",0,0.0,-45,-2.2,4266580,5.2,-139118,-0.7,-155736,-20.3,57,7.5,2960,7.5
"01023","5","1013","73","0","2015","A","N",5,0,0,0,0,0,0,"N",0.49,0,0,0,0,0,0,"N",-2,-28.6,0,0,0,0,0,0,0,0,0,0,0,0
"01025","5","1013","73","0","2015","A","",28,1680,103442122,16580055,254721,1184,61576,"",1.19,2.34,3.13,2.39,1.91,1.34,1.34,"",-1,-3.4,-135,-7.4,-7677133,-6.9,-303916,-1.8,-13641,-5.1,7,0.6,359,0.6
"01027","5","1013","73","0","2015","A","",14,1775,61401625,17751236,395278,665,34592,"",1.86,5.24,4.68,5.43,5.43,0.89,0.89,"",0,0.0,103,6.2,7320092,13.5,1468637,9.0,-36672,-8.5,43,6.9,2240,6.9
"01029","5","1013","73","0","2015","A","",10,342,16249446,2958805,65333,913,47455,"",1.36,1.78,1.61,1.58,1.16,0.91,0.91,"",-2,-16.7,8,2.4,230999,1.4,-2885,-0.1,-15862,-19.5,-9,-1.0,-504,-1.1
"01031","5","1013","73","0","2015","A","",37,3467,117709896,33906836,886918,653,33948,"",0.99,2.59,2.22,2.44,2.91,0.86,0.86,"",2,5.7,331,10.6,14689983,14.3,3569069,11.8,152584,20.8,21,3.3,1099,3.3
"01033","5","1013","73","0","2015","A","",109,6523,324093444,63543258,1314282,955,49685,"",2.36,3.13,3.06,3.01,2.61,0.98,0.98,"",-2,-1.8,707,12.2,37323737,13.0,6831552,12.0,284243,27.6,7,0.7,375,0.8
"01035","5","1013","73","0","2015","A","",17,659,21668022,6338453,216731,633,32893,"",1.88,2.12,1.70,2.05,2.96,0.81,0.80,"",2,13.3,4,0.6,347342,1.6,-49237,-0.8,15671,7.8,7,1.1,330,1.0
"01037","5","1013","73","0","2015","A","",8,558,23384093,5773981,156573,806,41901,"",1.91,4.91,4.74,5.47,5.85,0.97,0.97,"",0,0.0,7,1.3,-77069,-0.3,-148779,-2.5,-7236,-4.4,-12,-1.5,-659,-1.5
"01039","5","1013","73","0","2015","A","",39,2088,74908579,20764017,1077825,690,35876,"",1.21,1.94,1.72,1.95,3.58,0.88,0.89,"",-1,-2.5,-188,-8.3,-11205311,-13.0,-2223843,-9.7,-100209,-8.5,-38,-5.2,-1957,-5.2
"01041","5","1013","73","0","2015","A","",8,1279,49609839,12809238,367259,746,38793,"",0.88,3.85,3.48,3.54,3.50,0.90,0.90,"",-1,-11.1,51,4.2,3523773,7.6,421764,3.4,-82688,-18.4,24,3.3,1271,3.4
"01043","5","1013","73","0","2015","A","",121,5466,248444773,49976067,1024818,874,45453,"",1.90,2.24,2.29,1.99,2.05,1.02,1.02,"",-2,-1.6,293,5.7,14712536,6.3,3142632,6.7,-46244,-4.3,5,0.6,268,0.6
"01045","5","1013","73","0","2015","A","",35,4028,282767388,36454802,872492,1350,70198,"",1.13,2.78,3.16,2.97,3.03,1.14,1.14,"",3,9.4,-207,-4.9,809030,0.3,173735,0.5,307171,54.3,70,5.5,3626,5.4
"01047","5","1013","73","0","2015","A","",40,3002,147018580,27322757,924851,942,48969,"",1.32,2.68,3.06,2.57,2.81,1.14,1.14,"",0,0.0,112,3.9,4561365,3.2,3154283,13.1,-128076,-12.2,-6,-0.6,-321,-0.7
"01049","5","1013","73","0","2015","A","",111,6563,256021184,60866938,1524659,750,39008,"",2.73,3.57,3.37,3.12,3.50,0.94,0.94,"",1,0.9,50,0.8,11488757,4.7,640606,1.1,-454859,-23.0,28,3.9,1462,3.9
"01051","5","1013","73","0","2015","A","",63,2435,130443333,23572877,464499,1030,53568,"",1.35,1.44,1.89,1.46,1.45,1.32,1.32,"",3,5.0,76,3.2,3898415,3.1,284046,1.2,-34021,-6.8,-2,-0.2,-77,-0.1
"01053","5","1013","73","0","2015","A","",42,2065,110143532,18925380,518270,1026,53328,"",1.43,1.83,2.14,1.74,2.24,1.16,1.17,"",0,0.0,-9,-0.4,1380838,1.3,-360988,-1.9,-3388,-0.6,17,1.7,874,1.7
"01055","5","1013","73","0","2015","A","",108,5411,246321378,51377054,1207823,875,45520,"",1.47,1.73,1.84,1.50,1.66,1.06,1.06,"",1,0.9,321,6.3,16189597,7.0,3367433,7.0,-19911,-1.6,6,0.7,307,0.7
"01057","5","1013","73","0","2015","A","",20,820,33742859,8066305,179031,791,41141,"",1.68,2.38,2.50,2.78,3.16,1.05,1.05,"",-1,-4.8,77,10.4,3668215,12.2,547801,7.3,-39565,-18.1,12,1.5,641,1.6
"01059","5","1013","73","0","2015","A","",43,4157,155641458,40709729,1203847,720,37438,"",2.13,4.60,4.24,4.36,5.00,0.92,0.92,"",-2,-4.4,92,2.3,7302564,4.9,1681767,4.3,113069,10.4,18,2.6,943,2.6
"01061","5","1013","73","0","2015","A","",22,758,25265463,6841130,100116,641,33343,"",1.27,1.74,1.54,1.51,1.31,0.88,0.88,"",1,4.8,52,7.4,2808061,12.5,520232,8.2,-37579,-27.3,29,4.7,1515,4.8
"01063","5","1013","73","0","2015","A","",8,397,16119309,3017900,97041,780,40560,"",1.49,2.59,2.72,2.46,2.39,1.05,1.05,"",0,0.0,-26,-6.1,1031828,6.8,-255941,-7.8,-29357,-23.2,94,13.7,4885,13.7
"01065","5","1013","73","0","2015","A","",16,508,24765356,4004135,91093,937,48727,"",1.64,2.09,2.44,1.95,2.13,1.17,1.17,"",2,14.3,11,2.2,568714,2.4,24535,0.6,10485,13.0,1,0.1,58,0.1
