"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","3","101","52","0","2015","A","",3,34,1633754,16000,432,922,47934,"",0.05,0.02,0.03,0.01,0.01,1.17,1.17,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","101","52","0","2015","A","",16054,358232,18791981172,3544757897,92120787,1009,52458,"",1.03,1.28,1.30,1.19,1.16,1.02,1.02,"",163,1.0,6243,1.8,556327633,3.1,72930550,2.1,-9687811,-9.5,13,1.3,650,1.3
"01001","5","101","72","0","2015","A","",137,2055,115113150,20656130,438933,1077,56018,"",1.24,1.31,1.79,1.41,1.23,1.37,1.37,"",10,7.9,132,6.9,6564154,6.0,2830335,15.9,34847,8.6,-9,-0.8,-435,-0.8
"01003","5","101","72","0","2015","A","",778,8086,357085386,80622538,1962268,849,44161,"",1.07,0.81,0.90,0.71,0.71,1.12,1.12,"",14,1.8,421,5.5,26508845,8.0,4818067,6.4,-152943,-7.2,20,2.4,1033,2.4
"01005","5","101","72","0","2015","A","",92,2731,112913145,25961270,672798,795,41346,"",1.26,2.24,2.28,2.03,1.83,1.02,1.02,"",3,3.4,11,0.4,6027369,5.6,-1829,0.0,-39806,-5.6,39,5.2,2043,5.2
"01007","5","101","72","0","2015","A","",61,1156,59122625,12186698,340605,983,51140,"",1.39,1.91,2.23,2.16,2.09,1.17,1.17,"",-1,-1.6,-126,-9.8,-3859163,-6.1,-1162844,-8.7,-86997,-20.3,38,4.0,1993,4.1
"01009","5","101","72","0","2015","A","",142,1657,60260840,15849393,286389,699,36358,"",1.48,1.38,1.30,1.41,1.22,0.94,0.94,"",7,5.2,33,2.0,365775,0.6,-39156,-0.2,-161541,-36.1,-10,-1.4,-527,-1.4
"01011","5","101","72","0","2015","A","",26,1096,38574000,10889616,359681,677,35206,"",1.38,2.54,2.35,2.53,2.63,0.92,0.92,"",1,4.0,-88,-7.4,-1483942,-3.7,-881869,-7.5,-39239,-9.8,26,4.0,1371,4.1
"01013","5","101","72","0","2015","A","",74,1715,72951431,16821115,486586,818,42529,"",1.19,1.69,1.89,1.46,1.32,1.12,1.12,"",2,2.8,5,0.3,1477806,2.1,-458444,-2.7,-35706,-6.8,14,1.7,727,1.7
"01015","5","101","72","0","2015","A","",307,6862,317287501,63235472,1497284,889,46237,"",0.95,1.06,1.15,1.06,0.96,1.08,1.08,"",7,2.3,70,1.0,5900336,1.9,425308,0.7,-604993,-28.8,7,0.8,391,0.9
"01017","5","101","72","0","2015","A","",100,2147,97398336,21711055,535538,872,45365,"",1.30,1.80,2.02,1.81,1.72,1.13,1.13,"",2,2.0,391,22.3,21926392,29.1,4182218,23.9,164257,44.2,45,5.4,2375,5.5
"01019","5","101","72","0","2015","A","",74,1308,49132862,14287533,609917,723,37578,"",1.38,1.74,1.70,1.87,2.32,0.98,0.98,"",3,4.2,-55,-4.0,-1028620,-2.1,1328970,10.3,21103,3.6,15,2.1,776,2.1
"01021","5","101","72","0","2015","A","",163,2874,118349433,26955664,797022,792,41182,"",1.65,2.09,2.16,1.84,1.95,1.03,1.03,"",3,1.9,-102,-3.4,266939,0.2,-916235,-3.3,-253826,-24.2,29,3.8,1503,3.8
"01023","5","101","72","0","2015","A","",45,1398,100643482,13584865,248063,1384,71982,"",1.22,2.80,3.67,2.55,1.95,1.31,1.31,"",-3,-6.2,-96,-6.4,-5184238,-4.9,-600723,-4.2,-51143,-17.1,21,1.5,1127,1.6
"01025","5","101","72","0","2015","A","",92,2224,125617303,22131053,390434,1086,56483,"",1.07,1.84,2.36,1.79,1.38,1.28,1.28,"",-1,-1.1,-85,-3.7,-5273667,-4.0,369339,1.7,-16422,-4.0,-4,-0.4,-204,-0.4
"01027","5","101","72","0","2015","A","",40,1861,64410138,18581596,430371,665,34603,"",1.46,3.26,3.05,3.19,2.78,0.93,0.93,"",-1,-2.4,66,3.7,6051862,10.4,989016,5.6,-57611,-11.8,40,6.4,2087,6.4
"01029","5","101","72","0","2015","A","",35,692,47078329,8507545,315849,1308,68008,"",1.31,2.13,2.90,2.56,2.65,1.36,1.36,"",0,0.0,-178,-20.5,-953878,-2.0,-445424,-5.0,-142179,-31.0,246,23.2,12809,23.2
"01031","5","101","72","0","2015","A","",152,4152,142948135,40641645,1042998,662,34426,"",1.11,1.84,1.67,1.64,1.61,0.91,0.91,"",1,0.7,304,7.9,14962520,11.7,3591557,9.7,141909,15.7,22,3.4,1169,3.5
"01033","5","101","72","0","2015","A","",228,8070,402468875,80946766,2284587,959,49874,"",1.35,2.29,2.36,2.15,2.14,1.03,1.03,"",-1,-0.4,631,8.5,32252739,8.7,4856406,6.4,130120,6.0,2,0.2,105,0.2
"01035","5","101","72","0","2015","A","",48,896,31176768,8752686,279381,669,34812,"",1.46,1.71,1.52,1.59,1.80,0.89,0.89,"",-1,-2.0,-2,-0.2,116955,0.4,-96730,-1.1,10181,3.8,4,0.6,227,0.7
"01037","5","101","72","0","2015","A","",23,618,25597290,6412480,169969,797,41448,"",1.51,3.22,3.22,3.41,2.99,1.00,1.00,"",0,0.0,6,1.0,-59544,-0.2,-154998,-2.4,-12245,-6.7,-10,-1.2,-503,-1.2
"01039","5","101","72","0","2015","A","",137,2771,98679073,27475047,1266118,685,35618,"",1.17,1.53,1.40,1.45,1.98,0.92,0.92,"",-3,-2.1,-200,-6.7,-11653596,-10.6,-2629990,-8.7,-143823,-10.2,-29,-4.1,-1518,-4.1
"01041","5","101","72","0","2015","A","",45,1492,57282081,15061434,423957,738,38399,"",1.35,2.66,2.49,2.34,1.90,0.93,0.94,"",0,0.0,61,4.3,3957228,7.4,432355,3.0,-100728,-19.2,21,2.9,1126,3.0
"01043","5","101","72","0","2015","A","",336,7178,311265944,67682834,1568702,834,43361,"",1.45,1.75,1.78,1.51,1.48,1.02,1.02,"",-5,-1.5,217,3.1,12591870,4.2,1667130,2.5,-232528,-12.9,9,1.1,455,1.1
"01045","5","101","72","0","2015","A","",115,4596,307886316,42407583,1012438,1288,66996,"",1.02,1.88,2.13,1.94,1.66,1.14,1.14,"",-2,-1.7,-204,-4.2,1730918,0.6,139097,0.3,264586,35.4,61,5.0,3217,5.0
"01047","5","101","72","0","2015","A","",110,3548,172684285,33667699,1218405,936,48669,"",1.00,1.88,2.23,1.78,1.74,1.19,1.19,"",1,0.9,129,3.8,7873305,4.8,3287457,10.8,-134478,-9.9,9,1.0,465,1.0
