"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","1","1021","53","0","2015","A","",590,11257,741536011,0,0,1267,65876,"",1.56,1.24,1.58,0.00,0.00,1.27,1.27,"",3,0.5,-205,-1.8,21985180,3.1,0,0.0,0,0.0,60,5.0,3100,4.9
"01000","2","1021","53","0","2015","A","",175,1116,45857188,0,0,790,41103,"",14.66,1.39,1.16,0.00,0.00,0.83,0.83,"",-2,-1.1,-13,-1.2,-1317222,-2.8,0,0.0,0,0.0,-13,-1.6,-675,-1.6
"01000","3","1021","53","0","2015","A","",458,12084,482697185,10990369,134906,768,39946,"",3.06,1.66,1.29,1.08,1.41,0.78,0.78,"",-3,-0.7,142,1.2,7167724,1.5,243693,2.3,-2150,-1.6,2,0.3,126,0.3
"01000","5","1021","53","0","2015","A","",31377,374565,14554157182,3417208488,57862130,747,38856,"",1.31,1.04,1.09,1.06,1.01,1.05,1.05,"",277,0.9,4913,1.3,633380393,4.5,71487083,2.1,-3894051,-6.3,23,3.2,1197,3.2
"01001","1","1021","73","0","2015","A","",5,64,3512545,0,0,1051,54670,"",1.86,1.26,1.69,0.00,0.00,1.33,1.33,"",0,0.0,-3,-4.5,216396,6.6,0,0.0,0,0.0,108,11.5,5657,11.5
"01001","2","1021","73","0","2015","A","N",2,0,0,0,0,0,0,"N",23.65,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","3","1021","73","0","2015","A","",4,159,4751921,105008,934,574,29855,"",3.78,3.90,2.85,2.10,2.17,0.73,0.73,"",0,0.0,13,8.9,269037,6.0,1008,1.0,8,0.9,-17,-2.9,-867,-2.8
"01001","5","1021","73","0","2015","A","",199,2184,65846259,18090130,316875,580,30145,"",1.17,1.08,1.11,1.14,1.23,1.03,1.02,"",0,0.0,38,1.8,1606397,2.5,289851,1.6,-14688,-4.4,4,0.7,216,0.7
"01003","1","1021","73","0","2015","A","",20,222,12172186,0,0,1055,54850,"",1.13,0.68,0.95,0.00,0.00,1.39,1.39,"",0,0.0,8,3.7,1209431,11.0,0,0.0,0,0.0,72,7.3,3722,7.3
"01003","2","1021","73","0","2015","A","",10,38,1038039,0,0,528,27437,"",17.86,1.33,0.96,0.00,0.00,0.73,0.73,"",0,0.0,0,0.0,-43121,-4.0,0,0.0,0,0.0,-18,-3.3,-952,-3.4
