"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","1","1023","53","0","2015","A","",18,151,12141072,0,0,1549,80538,"",1.79,0.82,0.73,0.00,0.00,0.89,0.89,"",1,5.9,4,2.7,510534,4.4,0,0.0,0,0.0,22,1.4,1149,1.4
"01000","2","1023","53","0","2015","A","N",2,0,0,0,0,0,0,"N",1.33,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","1023","53","0","2015","A","",136,1802,75988933,8052051,144793,811,42181,"",5.86,2.58,2.47,2.40,3.12,0.96,0.96,"",0,0.0,-51,-2.8,-278856,-0.4,-210601,-2.5,3472,2.5,19,2.4,1020,2.5
"01000","5","1023","53","0","2015","A","",12585,92650,5922189032,874266768,16173722,1229,63920,"",1.19,0.87,0.76,0.83,0.79,0.87,0.87,"",255,2.1,568,0.6,318508802,5.7,11025041,1.3,-1021085,-5.9,59,5.0,3065,5.0
"01001","3","1023","73","0","2015","A","N",1,0,0,0,0,0,0,"N",6.09,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","1023","73","0","2015","A","",117,426,17791269,3721987,71544,803,41731,"",1.56,0.72,0.51,0.72,0.78,0.72,0.71,"",4,3.5,-11,-2.5,405250,2.3,-213456,-5.4,-13665,-16.0,37,4.8,1900,4.8
"01003","1","1023","73","0","2015","A","",1,8,513183,0,0,1234,64148,"",2.12,1.22,1.12,0.00,0.00,0.92,0.92,"",0,0.0,0,0.0,19345,3.9,0,0.0,0,0.0,47,4.0,2418,3.9
"01003","3","1023","73","0","2015","A","N",3,0,0,0,0,0,0,"N",2.76,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","1023","73","0","2015","A","",726,3672,155977605,34995993,691735,817,42479,"",1.46,0.97,0.73,0.87,0.97,0.75,0.75,"",42,6.1,151,4.3,15379027,10.9,1142117,3.4,-63858,-8.5,49,6.4,2549,6.4
"01005","3","1023","73","0","2015","A","N",2,0,0,0,0,0,0,"N",18.33,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
