"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","1","1026","53","0","2015","A","",26,796,15973298,0,0,386,20056,"",1.31,1.14,0.62,0.00,0.00,0.54,0.54,"",0,0.0,-14,-1.7,-150654,-0.9,0,0.0,0,0.0,3,0.8,152,0.8
"01000","2","1026","53","0","2015","A","",16,270,8560764,0,0,610,31746,"",1.08,0.84,0.94,0.00,0.00,1.11,1.11,"",-2,-11.1,-17,-5.9,-814791,-8.7,0,0.0,0,0.0,-19,-3.0,-950,-2.9
"01000","3","1026","53","0","2015","A","",184,4901,144055633,24743855,317963,565,29396,"",3.15,0.90,1.06,1.69,1.14,1.18,1.18,"",-2,-1.1,-425,-8.0,1213574,0.8,-136751,-0.5,-79798,-20.1,49,9.5,2578,9.6
"01000","5","1026","53","0","2015","A","",10001,189991,2953505837,1555044047,25215162,299,15546,"",0.99,0.93,0.79,1.02,0.95,0.85,0.85,"",225,2.3,6279,3.4,196901498,7.1,73347366,5.0,-885952,-3.4,10,3.5,541,3.6
"01001","2","1026","73","0","2015","A","N",1,0,0,0,0,0,0,"N",9.56,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","3","1026","73","0","2015","A","N",1,0,0,0,0,0,0,"N",2.42,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","1026","73","0","2015","A","",78,1446,20075097,11466996,144316,267,13888,"",1.09,1.26,1.21,1.52,1.21,0.96,0.96,"",3,4.0,-52,-3.5,-210820,-1.0,-123563,-1.1,-28344,-16.4,7,2.7,343,2.5
"01003","2","1026","73","0","2015","A","N",1,0,0,0,0,0,0,"N",1.44,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","1026","73","0","2015","A","",619,13590,250097374,124580737,2256154,354,18403,"",1.31,1.86,2.45,2.15,2.45,1.32,1.32,"",24,4.0,719,5.6,21453099,9.4,8978975,7.8,12880,0.6,12,3.5,638,3.6
"01005","2","1026","73","0","2015","A","N",0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,"N",-1,-100.0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","3","1026","73","0","2015","A","N",1,0,0,0,0,0,0,"N",3.64,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","1026","73","0","2015","A","",54,650,7869381,5008868,98412,233,12102,"",1.14,0.73,0.61,0.76,0.80,0.84,0.84,"",-2,-3.6,-11,-1.7,-21179,-0.3,-199082,-3.8,-7122,-6.7,3,1.3,168,1.4
"01007","5","1026","73","0","2015","A","",18,247,3390300,1863972,43051,264,13712,"",0.63,0.56,0.49,0.64,0.79,0.88,0.88,"",-1,-5.3,-23,-8.5,-293075,-8.0,-205078,-9.9,-6912,-13.8,1,0.4,45,0.3
"01009","5","1026","73","0","2015","A","",50,768,9254357,5414227,76298,232,12046,"",0.80,0.88,0.77,0.94,0.98,0.88,0.88,"",0,0.0,-15,-1.9,-111411,-1.2,-45757,-0.8,-3567,-4.5,2,0.9,81,0.7
