"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","1","1027","53","0","2015","A","",3,415,44571249,0,0,2065,107401,"",1.43,6.75,16.80,0.00,0.00,2.49,2.49,"",0,0.0,-85,-17.0,-9677135,-17.8,0,0.0,0,0.0,-20,-1.0,-1023,-0.9
"01000","2","1027","53","0","2015","A","N",3,0,0,0,0,0,0,"N",1.38,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","1027","53","0","2015","A","",30,371,16179884,99052,3335,839,43631,"",1.11,0.86,1.11,0.11,0.24,1.28,1.28,"N",2,7.1,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","1027","53","0","2015","A","",8934,44921,1543350779,398617398,7870306,661,34357,"",0.87,0.77,0.90,0.88,0.95,1.17,1.17,"",53,0.6,570,1.3,76706426,5.2,10402328,2.7,-469197,-5.6,25,3.9,1288,3.9
"01001","5","1027","73","0","2015","A","",69,399,7428863,1984669,38172,358,18607,"",0.94,1.22,0.97,0.89,1.02,0.80,0.80,"",-1,-1.4,-2,-0.5,69347,0.9,-22574,-1.1,710,1.9,5,1.4,246,1.3
"01003","5","1027","73","0","2015","A","",422,1935,55615651,16576009,319070,553,28741,"",0.87,0.93,1.19,0.97,1.10,1.28,1.28,"",31,7.9,166,9.4,7004675,14.4,1812818,12.3,-11568,-3.5,25,4.7,1260,4.6
"01005","3","1027","73","0","2015","A","N",1,0,0,0,0,0,0,"N",7.88,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","1027","73","0","2015","A","",34,144,3848437,1186208,16720,516,26818,"",0.70,0.57,0.65,0.61,0.43,1.15,1.15,"",-7,-17.1,-5,-3.4,249755,6.9,-48979,-4.0,-3477,-17.2,53,11.4,2720,11.3
"01007","5","1027","73","0","2015","A","",32,95,3217517,911469,20035,655,34048,"",1.10,0.75,1.02,1.07,1.18,1.36,1.36,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","1027","73","0","2015","A","",64,310,7680703,2660190,39351,476,24743,"",1.01,1.24,1.40,1.56,1.60,1.12,1.12,"",0,0.0,0,0.0,274345,3.7,-96974,-3.5,-5859,-13.0,16,3.5,819,3.4
"01011","5","1027","73","0","2015","A","",10,18,583034,159056,2513,635,33002,"",0.80,0.20,0.30,0.24,0.18,1.52,1.52,"",2,25.0,8,80.0,418887,255.2,74328,87.7,230,10.1,327,106.2,16988,106.1
"01013","5","1027","73","0","2015","A","",38,102,2537442,764679,11497,479,24918,"",0.92,0.48,0.55,0.44,0.30,1.15,1.15,"",0,0.0,5,5.2,173777,7.4,36342,5.0,-44,-0.4,12,2.6,613,2.5
"01015","3","1027","73","0","2015","A","N",2,0,0,0,0,0,0,"N",3.58,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","1027","73","0","2015","A","",192,956,25674494,8277172,140986,516,26851,"",0.90,0.71,0.78,0.92,0.86,1.10,1.10,"",2,1.1,37,4.0,170102,0.7,440561,5.6,-13337,-8.6,-18,-3.4,-916,-3.3
"01017","3","1027","73","0","2015","A","N",1,0,0,0,0,0,0,"N",7.50,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01017","5","1027","73","0","2015","A","",40,152,4180296,1365658,34535,529,27487,"",0.78,0.61,0.73,0.75,1.06,1.20,1.19,"",-1,-2.4,-4,-2.6,-651633,-13.5,-25336,-1.8,6706,24.1,-68,-11.4,-3553,-11.4
"01019","5","1027","73","0","2015","A","",22,61,1351884,601496,11086,429,22314,"",0.62,0.39,0.39,0.52,0.40,1.02,1.02,"",2,10.0,-1,-1.6,91658,7.3,97221,19.3,1195,12.1,35,8.9,1850,9.0
"01021","5","1027","73","0","2015","A","",60,240,6538703,2218726,40282,525,27282,"",0.92,0.84,1.00,1.00,0.94,1.20,1.20,"",6,11.1,21,9.6,1236133,23.3,388634,21.2,2872,7.7,59,12.7,3051,12.6
"01023","5","1027","73","0","2015","A","",27,87,2019427,669828,11523,449,23346,"",1.10,0.84,0.62,0.83,0.86,0.75,0.75,"",0,0.0,1,1.2,126220,6.7,-12294,-1.8,-6652,-36.6,25,5.9,1311,5.9
"01025","3","1027","73","0","2015","A","N",1,0,0,0,0,0,0,"N",6.71,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01025","5","1027","73","0","2015","A","",57,162,3855513,1225341,17413,459,23849,"",1.00,0.64,0.61,0.66,0.59,0.95,0.95,"",-1,-1.7,11,7.3,266521,7.4,47805,4.1,-1845,-9.6,1,0.2,28,0.1
"01027","5","1027","73","0","2015","A","",12,55,1158312,417648,5532,407,21156,"",0.66,0.46,0.46,0.47,0.34,1.00,1.00,"",-1,-7.7,2,3.8,21693,1.9,-1096,-0.3,-2305,-29.4,-5,-1.2,-290,-1.4
"01029","3","1027","73","0","2015","A","N",1,0,0,0,0,0,0,"N",21.58,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"01029","5","1027","73","0","2015","A","",10,46,1425729,435327,6391,593,30827,"",0.56,0.68,0.74,0.87,0.51,1.08,1.08,"",-2,-16.7,4,9.5,137006,10.6,18149,4.4,-1427,-18.3,9,1.5,445,1.5
"01031","3","1027","73","0","2015","A","N",1,0,0,0,0,0,0,"N",4.21,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01031","5","1027","73","0","2015","A","",93,352,10180762,3377212,57492,556,28895,"",1.02,0.75,1.00,0.90,0.85,1.34,1.34,"",5,5.7,-7,-1.9,173077,1.7,-16132,-0.5,2339,4.2,20,3.7,1018,3.7
