"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"02000","1","1029","53","0","2015","A","",1,5,75179,0,0,310,16110,"",71.44,262.85,86.15,0.00,0.00,0.35,0.35,"",-1,-50.0,0,0.0,-109694,-59.3,0,0.0,0,0.0,-401,-56.4,-20865,-56.4
"02000","2","1029","53","0","2015","A","",0,0,0,0,0,0,0,"",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"",-4,-100.0,0,0.0,-1096,-100.0,0,0.0,0,0.0,-253,-100.0,-13152,-100.0
"02000","5","1029","53","0","2015","A","",519,349,14009305,10704605,301323,771,40103,"",1.14,0.61,0.47,0.51,0.55,0.77,0.77,"",-104,-16.7,-256,-42.3,-10517262,-42.9,-8935514,-45.5,-352486,-53.9,-9,-1.2,-459,-1.1
"02013","5","1029","73","0","2015","A","",1,0,23500,23500,710,2712,141000,"",0.48,0.00,0.14,0.11,0.10,3.39,3.39,"",1,100.0,0,0.0,23500,100.0,23500,100.0,710,100.0,2712,100.0,141000,100.0
"02020","5","1029","73","0","2015","A","",179,125,4290184,3569679,99351,660,34299,"",1.05,0.47,0.30,0.36,0.40,0.63,0.63,"",-73,-29.0,-165,-56.9,-7433469,-63.4,-5769268,-61.8,-216090,-68.5,-117,-15.1,-6081,-15.1
"02050","5","1029","73","0","2015","A","N",3,0,0,0,0,0,0,"N",0.39,0,0,0,0,0,0,"N",-2,-40.0,0,0,0,0,0,0,0,0,0,0,0,0
"02060","5","1029","73","0","2015","A","",1,1,20484,20484,603,525,27312,"",0.47,0.56,0.22,0.20,0.18,0.52,0.52,"",0,0.0,1,100.0,-376,-1.8,-376,-1.8,-146,-19.5,-678,-56.4,-35268,-56.4
"02068","5","1029","73","0","2015","A","",0,0,0,0,0,0,0,"",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02070","5","1029","73","0","2015","A","",3,1,14870,14870,435,286,14870,"",0.95,0.23,0.08,0.09,0.09,0.36,0.36,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0
"02090","1","1029","73","0","2015","A","",0,5,75179,0,0,310,16110,"",0.00,2354.75,820.81,0.00,0.00,0.37,0.37,"",-1,-100.0,1,25.0,6788,9.9,0,0.0,0,0.0,-26,-7.7,-1352,-7.7
"02090","5","1029","73","0","2015","A","",38,38,979886,885164,25496,501,26072,"",0.81,0.60,0.31,0.44,0.47,0.53,0.53,"",-5,-11.6,-12,-24.0,-672084,-40.7,-744113,-45.7,-25992,-50.5,-136,-21.4,-7078,-21.4
"02100","5","1029","73","0","2015","A","",1,0,0,0,0,0,0,"",0.31,0.00,0.00,0.00,0.00,0.00,0.00,"",-2,-66.7,-4,-100.0,-42894,-100.0,-42894,-100.0,-1026,-100.0,-225,-100.0,-11698,-100.0
"02105","5","1029","73","0","2015","A","",1,0,4835,4835,146,223,11604,"",0.35,0.00,0.11,0.14,0.13,0.34,0.34,"",-2,-66.7,-8,-100.0,-118795,-96.1,-118795,-96.1,-2485,-94.5,-94,-29.7,-4880,-29.6
"02110","5","1029","73","0","2015","A","",18,8,477971,350137,9842,1103,57357,"",0.79,0.27,0.33,0.43,0.47,1.18,1.18,"",0,0.0,-5,-38.5,57982,13.8,4198,1.2,-2317,-19.1,465,72.9,24200,73.0
"02122","5","1029","73","0","2015","A","",30,18,408698,388906,11443,435,22601,"",0.74,0.52,0.25,0.35,0.38,0.48,0.48,"",-5,-14.3,-17,-48.6,-461525,-53.0,-382504,-49.6,-11584,-50.3,-43,-9.0,-2263,-9.1
"02130","5","1029","73","0","2015","A","",7,7,96614,96614,2815,269,13968,"",0.56,0.56,0.18,0.25,0.25,0.32,0.32,"",-12,-63.2,-9,-56.2,-216635,-69.2,-181679,-65.3,-6970,-71.2,-116,-30.1,-6027,-30.1
"02150","5","1029","73","0","2015","A","",8,4,172165,170040,5050,845,43957,"",0.79,0.36,0.36,0.41,0.41,1.02,1.02,"",-2,-20.0,-2,-33.3,-169895,-49.7,-170780,-50.1,-6965,-58.0,-283,-25.1,-14682,-25.0
"02158","5","1029","73","0","2015","A","",0,0,0,0,0,0,0,"",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02164","5","1029","73","0","2015","A","",2,1,22305,22305,657,322,16729,"",0.74,0.72,0.44,0.44,0.39,0.46,0.46,"",-2,-50.0,-5,-83.3,-193743,-89.7,-156858,-87.6,-5760,-89.8,-401,-55.5,-20845,-55.5
"02170","5","1029","73","0","2015","A","",39,26,873586,704697,22629,646,33599,"",0.93,0.67,0.55,0.54,0.66,0.82,0.82,"",-21,-35.0,-35,-57.4,-1135078,-56.5,-1069413,-60.3,-35004,-60.7,13,2.1,670,2.0
"02180","5","1029","73","0","2015","A","",0,0,0,0,0,0,0,"",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"N",-2,-100.0,0,0,0,0,0,0,0,0,0,0,0,0
"02185","5","1029","73","0","2015","A","",4,2,34638,34638,1046,307,15987,"",0.80,0.07,0.01,0.02,0.03,0.16,0.17,"",0,0.0,1,100.0,-5448,-13.6,-5448,-13.6,-392,-27.3,-237,-43.6,-12309,-43.5
"02188","5","1029","73","0","2015","A","N",2,0,0,0,0,0,0,"N",0.55,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"02195","5","1029","73","0","2015","A","",2,1,20065,20065,604,421,21889,"",0.59,0.45,0.22,0.25,0.26,0.55,0.55,"",-1,-33.3,0,0.0,-3085,-13.3,-3085,-13.3,-228,-27.4,-469,-52.7,-24411,-52.7
"02198","5","1029","73","0","2015","A","",2,1,6064,6064,183,233,12128,"",0.41,0.28,0.05,0.05,0.06,0.33,0.33,"",0,0.0,1,100.0,1704,39.1,1704,39.1,34,22.8,-270,-53.7,-14032,-53.6
"02220","5","1029","73","0","2015","A","",5,5,191844,191844,5764,777,40388,"",0.64,0.65,0.60,0.82,0.83,0.98,0.98,"",-1,-16.7,1,25.0,76317,66.1,76317,66.1,1653,40.2,142,22.4,7380,22.4
"02230","5","1029","73","0","2015","A","N",2,0,0,0,0,0,0,"N",0.77,0,0,0,0,0,0,"N",-1,-33.3,0,0,0,0,0,0,0,0,0,0,0,0
"02240","2","1029","73","0","2015","A","",0,0,0,0,0,0,0,"",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"N",-1,-100.0,0,0,0,0,0,0,0,0,0,0,0,0
"02240","5","1029","73","0","2015","A","",7,8,202653,143597,4069,498,25871,"",1.28,1.83,0.73,1.01,0.95,0.41,0.41,"",4,133.3,5,166.7,115289,132.0,87358,155.3,2146,111.6,-95,-16.0,-4963,-16.1
"02261","5","1029","73","0","2015","A","",9,6,132137,132137,3791,418,21721,"",0.77,0.73,0.31,0.43,0.43,0.42,0.42,"",-2,-18.2,-1,-14.3,16939,14.7,16939,14.7,-35,-0.9,102,32.3,5264,32.0
"02275","5","1029","73","0","2015","A","",1,0,0,0,0,0,0,"",0.50,0.00,0.00,0.00,0.00,0.00,0.00,"",-1,-50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"02282","5","1029","73","0","2015","A","",2,2,42624,42624,1287,468,24357,"",2.08,4.09,2.44,2.72,2.87,0.68,0.68,"",1,100.0,2,100.0,34930,454.0,34930,454.0,1011,366.3,113,31.8,5891,31.9
"02290","5","1029","73","0","2015","A","N",2,0,0,0,0,0,0,"N",0.33,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"02999","1","1029","73","0","2015","A","",1,0,0,0,0,0,0,"",2124.67,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,0,0.0,-5450,-100.0,0,0.0,0,0.0,-1258,-100.0,-65400,-100.0
"02999","5","1029","73","0","2015","A","",153,90,5863900,3752123,102125,1259,65457,"",10.03,30.00,31.75,23.71,21.18,1.06,1.06,"",21,15.9,-1,-1.1,-364651,-5.9,-509002,-11.9,-41077,-28.7,-62,-4.7,-3240,-4.7
"04000","3","1029","53","0","2015","A","",1,0,0,0,0,0,0,"",0.76,0.00,0.00,0.00,0.00,0.00,0.00,"",-6,-85.7,-4,-100.0,-156122,-100.0,-41394,-100.0,-826,-100.0,-783,-100.0,-40727,-100.0
"04000","5","1029","53","0","2015","A","",11595,12578,623384248,154913298,3174326,953,49562,"",3.82,2.80,3.04,3.12,2.27,1.08,1.08,"",4494,63.3,7012,126.0,307069192,97.1,77751449,100.8,1621259,104.4,-140,-12.8,-7270,-12.8
"04001","5","1029","73","0","2015","A","",5,2,28600,22905,458,236,12257,"",0.41,0.07,0.02,0.13,0.06,0.32,0.32,"",1,25.0,0,0.0,-14627,-33.8,2678,13.2,54,13.4,-289,-55.0,-15044,-55.1
"04003","3","1029","73","0","2015","A","",0,0,0,0,0,0,0,"",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04003","5","1029","73","0","2015","A","",23,17,467857,229227,4313,545,28355,"",0.51,0.29,0.19,0.45,0.26,0.70,0.70,"",-4,-14.8,-1,-5.6,180686,62.9,15159,7.1,-105,-2.4,238,77.5,12401,77.7
"04005","5","1029","73","0","2015","A","",68,64,1559253,703727,13889,472,24555,"",1.00,0.62,0.39,0.72,0.56,0.63,0.63,"",30,78.9,37,137.0,964617,162.2,329126,87.9,6736,94.2,45,10.5,2326,10.5
"04007","5","1029","73","0","2015","A","",27,31,864666,244774,4747,534,27743,"",1.36,1.22,0.90,0.94,0.62,0.74,0.74,"",18,200.0,24,342.9,741968,604.7,151348,162.0,2882,154.5,197,58.5,10215,58.3
"04009","5","1029","73","0","2015","A","",7,27,600069,279918,5542,423,22021,"",0.65,1.82,1.08,2.57,1.94,0.59,0.59,"",3,75.0,22,440.0,526696,717.8,238282,572.3,4710,566.1,109,34.7,5716,35.1
"04011","5","1029","73","0","2015","A","",1,0,4900,4900,381,283,14700,"",0.44,0.00,0.01,0.06,0.10,0.23,0.23,"",0,0.0,0,0.0,4900,100.0,4900,100.0,381,100.0,283,100.0,14700,100.0
"04012","5","1029","73","0","2015","A","",2,3,104425,9403,327,709,36856,"",0.28,0.32,0.35,0.10,0.10,1.17,1.17,"",1,100.0,3,100.0,104425,100.0,9403,100.0,327,100.0,709,100.0,36856,100.0
"04013","5","1029","73","0","2015","A","",5023,6221,233193803,77366181,1570030,721,37485,"",2.63,1.99,1.55,2.14,1.59,0.78,0.78,"",2546,102.8,4534,268.8,164061043,237.3,51457665,198.6,1057903,206.6,-67,-8.5,-3503,-8.5
"04015","5","1029","73","0","2015","A","",104,134,3433876,1362033,29671,492,25578,"",1.43,1.66,1.25,1.55,1.10,0.75,0.75,"",38,57.6,87,185.1,2422073,239.4,716017,110.8,16421,123.9,77,18.6,3974,18.4
"04017","5","1029","73","0","2015","A","",36,63,1191316,625129,12944,362,18835,"",1.07,1.37,0.72,1.64,1.13,0.53,0.53,"",7,24.1,43,215.0,727100,156.6,295685,89.8,4825,59.4,-88,-19.6,-4571,-19.5
"04019","5","1029","73","0","2015","A","",969,1228,36659006,13606820,282332,574,29855,"",2.55,2.01,1.45,2.29,1.82,0.72,0.72,"",378,64.0,657,115.1,19572613,114.6,6423140,89.4,137692,95.2,-1,-0.2,-60,-0.2
"04021","5","1029","73","0","2015","A","",60,77,2019608,889079,17781,506,26314,"",0.99,0.78,0.54,1.03,0.79,0.69,0.69,"",-21,-25.9,8,11.6,-436875,-17.8,-103341,-10.4,-1510,-7.8,-175,-25.7,-9116,-25.7
"04023","5","1029","73","0","2015","A","",22,17,399422,234241,4720,450,23381,"",0.93,0.73,0.41,1.02,0.51,0.57,0.57,"",-10,-31.2,-11,-39.3,-177861,-30.8,-112894,-32.5,-3250,-40.8,46,11.4,2389,11.4
"04025","3","1029","73","0","2015","A","",0,0,0,0,0,0,0,"",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04025","5","1029","73","0","2015","A","",149,178,5117987,2203989,44509,553,28753,"",1.37,1.73,1.43,2.04,1.58,0.82,0.83,"",-20,-11.8,38,27.1,1172697,29.7,265884,13.7,4737,11.9,9,1.7,471,1.7
"04027","5","1029","73","0","2015","A","",51,75,1785581,988864,20412,455,23676,"",0.80,0.67,0.47,0.77,0.29,0.70,0.70,"",1,2.0,40,114.3,1035853,138.2,520720,111.2,9981,95.7,48,11.8,2507,11.8
"04999","3","1029","73","0","2015","A","",1,0,0,0,0,0,0,"",10.62,0.00,0.00,0.00,0.00,0.00,0.00,"",-4,-80.0,-3,-100.0,-147094,-100.0,-37491,-100.0,-748,-100.0,-943,-100.0,-49031,-100.0
"04999","5","1029","73","0","2015","A","",5050,4440,335953879,56142108,1162270,1455,75662,"",23.16,111.30,107.91,81.83,58.36,0.97,0.97,"",1526,43.3,1528,52.5,116183884,52.9,17537677,45.4,379475,48.5,3,0.2,183,0.2
"06000","2","1029","53","0","2015","A","",3,17,1163855,28030,953,1310,68128,"",2.24,6.61,5.84,12.81,7.04,0.89,0.89,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0
"06000","3","1029","53","0","2015","A","",1,1,47888,7000,434,691,35916,"",0.08,0.04,0.04,0.11,0.76,0.76,0.76,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"06000","5","1029","53","0","2015","A","",57575,89731,4598808107,1296003545,45371024,986,51251,"",1.99,3.20,2.79,4.15,2.46,0.87,0.87,"",12024,26.4,28991,47.7,1615318747,54.1,375434181,40.8,13104182,40.6,41,4.3,2132,4.3
"06001","5","1029","73","0","2015","A","",2069,3487,164802760,50453732,1758412,909,47269,"",1.72,2.78,2.00,3.62,2.12,0.72,0.72,"",458,28.4,1232,54.6,63790193,63.2,16243167,47.5,563384,47.1,48,5.6,2482,5.5
"06003","5","1029","73","0","2015","A","",1,0,10400,10400,354,600,31200,"",0.53,0.00,0.32,1.38,0.70,0.84,0.84,"",0,0.0,-1,-100.0,-16672,-61.6,-5710,-35.4,-253,-41.7,79,15.2,4128,15.2
"06005","5","1029","73","0","2015","A","",38,57,2492556,586270,20507,837,43538,"",1.75,2.85,3.11,3.58,2.05,1.09,1.09,"",15,65.2,26,83.9,1227714,97.1,183905,45.7,6413,45.5,63,8.1,3278,8.1
"06007","3","1029","73","0","2015","A","N",0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06007","5","1029","73","0","2015","A","",156,280,7681396,3409817,118730,528,27458,"",0.97,2.07,1.54,2.80,1.62,0.74,0.74,"",23,17.3,94,50.5,2390517,45.2,932754,37.7,29109,32.5,-20,-3.6,-1039,-3.6
"06009","5","1029","73","0","2015","A","",29,45,1186735,631773,22389,506,26323,"",1.13,3.06,2.28,4.57,2.70,0.74,0.74,"",8,38.1,17,60.7,560203,89.4,289026,84.3,10427,87.2,77,17.9,4013,18.0
"06011","5","1029","73","0","2015","A","",14,15,490324,308707,10668,622,32329,"",0.86,0.96,0.81,1.57,0.79,0.83,0.83,"",1,7.7,5,50.0,54497,12.5,118121,62.0,3903,57.7,-183,-22.7,-9510,-22.7
"06013","5","1029","73","0","2015","A","",1072,1604,81392323,23617912,827654,976,50749,"",1.73,2.69,2.24,3.58,2.13,0.83,0.83,"",267,33.2,585,57.4,30850311,61.0,7334615,45.0,255250,44.6,22,2.3,1153,2.3
"06015","5","1029","73","0","2015","A","",14,15,353523,205283,6995,466,24242,"",0.86,1.10,0.75,2.21,1.21,0.70,0.70,"",4,40.0,5,50.0,-139796,-28.3,87172,73.8,2888,70.3,-452,-49.2,-23499,-49.2
"06017","5","1029","73","0","2015","A","",204,300,10099404,4005311,140135,648,33693,"",2.00,3.38,2.63,4.37,2.50,0.78,0.78,"",39,23.6,120,66.7,3308441,48.7,1240434,44.9,42873,44.1,-80,-11.0,-4140,-10.9
"06019","5","1029","73","0","2015","A","",573,1046,32125477,14693980,513686,590,30705,"",0.88,1.67,1.31,2.20,1.23,0.79,0.79,"",52,10.0,240,29.8,10221150,46.7,3620642,32.7,126487,32.7,67,12.8,3531,13.0
"06021","5","1029","73","0","2015","A","",24,40,1156361,582458,20126,557,28969,"",1.00,2.62,2.11,3.52,1.94,0.80,0.81,"N",6,33.3,0,0,0,0,0,0,0,0,0,0,0,0
"06023","5","1029","73","0","2015","A","",78,174,3925601,2135705,73624,433,22507,"",0.79,2.16,1.37,2.93,1.72,0.63,0.63,"",14,21.9,72,70.6,1548810,65.2,897982,72.6,29586,67.2,-13,-2.9,-700,-3.0
"06025","5","1029","73","0","2015","A","",79,140,4038325,2081132,76566,554,28794,"",0.56,1.27,1.07,1.93,1.13,0.84,0.84,"",7,9.7,32,29.6,1490416,58.5,787797,60.9,30294,65.5,100,22.0,5202,22.0
"06027","5","1029","73","0","2015","A","",11,20,675584,359667,12229,658,34207,"",0.73,1.52,1.29,2.98,1.74,0.86,0.86,"",0,0.0,6,42.9,120224,21.6,169865,89.5,3705,43.5,-133,-16.8,-6931,-16.8
"06029","5","1029","73","0","2015","A","",471,890,29192966,12241430,427028,631,32807,"",1.32,1.66,1.29,2.05,1.13,0.78,0.78,"",62,15.2,249,38.8,6672635,29.6,3770813,44.5,129370,43.5,-45,-6.7,-2326,-6.6
