"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","5","1011","53","0","2015","A","",1783,18710,1009203352,186609386,4016750,1037,53940,"",1.03,0.69,0.76,0.62,0.62,1.10,1.10,"",30,1.7,-601,-3.1,-38357981,-3.7,-2318845,-1.2,-202097,-4.8,-6,-0.6,-306,-0.6
"01001","5","1011","73","0","2015","A","",22,194,10189398,1999784,41624,1009,52478,"",1.80,1.28,1.73,1.35,1.42,1.35,1.35,"",2,10.0,-5,-2.5,842335,9.0,121286,6.5,4819,13.1,105,11.6,5468,11.6
"01003","5","1011","73","0","2015","A","",68,723,25718930,7359459,138196,684,35573,"",0.84,0.75,0.71,0.65,0.61,0.95,0.95,"",-1,-1.4,42,6.2,2670118,11.6,522728,7.6,7038,5.4,33,5.1,1736,5.1
"01005","5","1011","73","0","2015","A","",29,377,17922161,3637323,73574,915,47602,"",3.57,3.20,3.94,2.83,2.45,1.23,1.23,"",2,7.4,-4,-1.0,285288,1.6,2867,0.1,-24803,-25.2,24,2.7,1291,2.8
"01007","5","1011","73","0","2015","A","",15,101,3539534,1017952,39843,674,35045,"",3.06,1.73,1.45,1.80,3.00,0.84,0.84,"",-4,-21.1,-40,-28.4,-1122457,-24.1,-355549,-25.9,-1293,-3.1,37,5.8,1942,5.9
"01009","5","1011","73","0","2015","A","",12,58,1606100,677652,18397,531,27612,"",1.13,0.50,0.38,0.60,0.96,0.75,0.75,"",-1,-7.7,-7,-10.8,-526885,-24.7,-10814,-1.6,-3513,-16.0,-101,-16.0,-5245,-16.0
"01011","5","1011","73","0","2015","A","",16,240,13188355,2836251,178072,1056,54913,"",7.62,5.76,8.74,6.55,15.94,1.52,1.52,"",2,14.3,-52,-17.8,-139725,-1.0,-81804,-2.8,-1021,-0.6,179,20.4,9308,20.4
"01013","5","1011","73","0","2015","A","",25,196,7805110,1978935,34501,767,39873,"",3.63,2.00,2.20,1.71,1.15,1.11,1.11,"",2,8.7,-12,-5.8,-294402,-3.6,-212157,-9.7,-5781,-14.4,19,2.5,964,2.5
"01015","5","1011","73","0","2015","A","",22,162,6307292,1766000,46335,749,38934,"",0.61,0.26,0.25,0.29,0.36,0.96,0.96,"",0,0.0,-15,-8.5,-205880,-3.2,-71444,-3.9,-6861,-12.9,40,5.6,2067,5.6
"01017","5","1011","73","0","2015","A","",21,206,8491078,2046324,38026,793,41236,"",2.46,1.79,1.92,1.70,1.49,1.08,1.08,"",-1,-4.5,10,5.1,691018,8.9,185831,10.0,3299,9.5,26,3.4,1355,3.4
