"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","1","1022","53","0","2015","A","",2,12,385630,0,0,627,32588,"",1.26,0.13,0.07,0.00,0.00,0.53,0.53,"",0,0.0,-1,-7.7,-44945,-10.4,0,0.0,0,0.0,-22,-3.4,-1183,-3.5
"01000","2","1022","53","0","2015","A","",8,73,4138306,0,0,1093,56819,"",1.96,0.82,1.23,0.00,0.00,1.51,1.50,"",0,0.0,4,5.8,293225,7.6,0,0.0,0,0.0,16,1.5,823,1.5
"01000","3","1022","53","0","2015","A","",57,758,17352496,678853,7703,440,22887,"",0.89,0.43,0.38,0.33,0.56,0.89,0.89,"",-1,-1.7,-17,-2.2,-120014,-0.7,-35879,-5.0,-672,-8.0,7,1.6,352,1.6
"01000","5","1022","53","0","2015","A","",1695,21506,1202010191,197768049,4449922,1075,55893,"",0.89,0.58,0.40,0.50,0.50,0.70,0.70,"",23,1.4,-434,-2.0,16982632,1.4,-3922834,-1.9,-877578,-16.5,36,3.5,1881,3.5
"01001","3","1022","73","0","2015","A","N",1,0,0,0,0,0,0,"N",2.20,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","1022","73","0","2015","A","",6,38,2456432,372038,13419,1230,63942,"",0.44,0.18,0.19,0.19,0.33,1.01,1.01,"",-2,-25.0,1,2.7,125441,5.4,17947,5.1,-266,-1.9,24,2.0,1225,2.0
"01003","2","1022","73","0","2015","A","N",1,0,0,0,0,0,0,"N",5.22,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","3","1022","73","0","2015","A","N",2,0,0,0,0,0,0,"N",0.66,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","1022","73","0","2015","A","",51,336,14033170,2813460,54668,804,41796,"",0.57,0.25,0.17,0.19,0.18,0.69,0.69,"",0,0.0,-13,-3.7,-267338,-1.9,-312197,-10.0,-28332,-34.1,16,2.0,820,2.0
"01005","5","1022","73","0","2015","A","",4,24,1231730,199838,3612,980,50968,"",0.45,0.15,0.12,0.12,0.09,0.81,0.81,"",0,0.0,-2,-7.7,-120895,-8.9,-39759,-16.6,-2894,-44.5,-37,-3.6,-1903,-3.6
