"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","1","1024","53","0","2015","A","",44,1731,148375278,0,0,1649,85733,"",2.38,1.99,2.41,0.00,0.00,1.21,1.21,"",1,2.3,19,1.1,4450104,3.1,0,0.0,0,0.0,33,2.0,1677,2.0
"01000","2","1024","53","0","2015","A","N",1,0,0,0,0,0,0,"N",0.08,0,0,0,0,0,0,"N",-2,-66.7,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","1024","53","0","2015","A","",77,1332,57079369,2080919,46631,824,42850,"",1.41,1.04,1.08,1.29,2.49,1.04,1.04,"",-2,-2.5,-78,-5.5,-3184981,-5.3,-191446,-8.4,2603,5.9,2,0.2,107,0.3
"01000","5","1024","53","0","2015","A","",20393,228598,11615851276,2491291727,60518707,977,50813,"",0.95,0.86,0.75,0.90,0.94,0.88,0.88,"",647,3.3,5833,2.6,484847346,4.4,81203603,3.4,-2770965,-4.4,16,1.7,845,1.7
"01001","3","1024","73","0","2015","A","N",1,0,0,0,0,0,0,"N",2.58,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","1024","73","0","2015","A","",94,404,16587061,3767748,105513,790,41099,"",0.61,0.27,0.24,0.28,0.36,0.89,0.89,"",9,10.6,-5,-1.2,1647715,11.0,89401,2.4,3103,3.0,88,12.5,4602,12.6
"01003","5","1024","73","0","2015","A","",875,4915,194525188,52009911,1200250,761,39577,"",0.86,0.52,0.46,0.50,0.53,0.89,0.89,"",40,4.8,243,5.2,12601477,6.9,3744721,7.8,-65266,-5.2,12,1.6,641,1.6
"01005","1","1024","73","0","2015","A","",1,6,440668,0,0,1338,69579,"",11.48,1.59,2.09,0.00,0.00,1.24,1.24,"",0,0.0,0,0.0,-13126,-2.9,0,0.0,0,0.0,-116,-8.0,-6053,-8.0
"01005","5","1024","73","0","2015","A","",48,320,8684700,3634707,170710,522,27147,"",0.47,0.28,0.16,0.31,0.57,0.59,0.59,"",0,0.0,51,19.0,1248163,16.8,692722,23.5,47083,38.1,-10,-1.9,-524,-1.9
"01007","5","1024","73","0","2015","A","N",27,0,0,0,0,0,0,"N",0.44,0,0,0,0,0,0,"N",-3,-10.0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","1024","73","0","2015","A","",87,477,17725670,4576488,61648,714,37141,"",0.65,0.42,0.36,0.44,0.32,0.85,0.85,"",1,1.2,22,4.8,627915,3.7,261125,6.1,-3627,-5.6,-9,-1.2,-430,-1.1
"01011","5","1024","73","0","2015","A","",11,195,4570527,2081733,21476,450,23409,"",0.42,0.48,0.26,0.52,0.19,0.55,0.55,"",-1,-8.3,78,66.7,1574682,52.6,621082,42.5,5525,34.6,-42,-8.5,-2160,-8.4
"01013","5","1024","73","0","2015","A","",34,487,11933314,6049846,298591,471,24487,"",0.39,0.51,0.29,0.57,0.99,0.57,0.57,"",1,3.0,-89,-15.5,-1290895,-9.8,-1734946,-22.3,-160805,-35.0,30,6.8,1545,6.7
"01015","1","1024","73","0","2015","A","",5,48,2788606,0,0,1123,58400,"",13.03,2.39,2.36,0.00,0.00,0.99,0.99,"",1,25.0,-11,-18.6,-555238,-16.6,0,0.0,0,0.0,35,3.2,1805,3.2
"01015","3","1024","73","0","2015","A","N",1,0,0,0,0,0,0,"N",0.88,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","1024","73","0","2015","A","",317,4125,115765814,45182778,1281421,540,28062,"",0.71,0.67,0.39,0.81,1.01,0.58,0.58,"",15,5.0,83,2.1,-35156341,-23.3,-4667300,-9.4,-283254,-18.1,-178,-24.8,-9276,-24.8
"01017","3","1024","73","0","2015","A","N",1,0,0,0,0,0,0,"N",3.70,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01017","5","1024","73","0","2015","A","",69,668,24777125,5848578,119812,713,37078,"",0.65,0.59,0.48,0.53,0.47,0.82,0.82,"",5,7.8,-334,-33.3,-7416657,-23.0,-2156832,-26.9,-73931,-38.2,95,15.4,4951,15.4
"01019","5","1024","73","0","2015","A","",36,265,6770633,2427319,49561,492,25574,"",0.48,0.37,0.22,0.34,0.23,0.59,0.59,"",-2,-5.3,29,12.3,635394,10.4,160750,7.1,1536,3.2,-7,-1.4,-386,-1.5
"01021","3","1024","73","0","2015","A","N",1,0,0,0,0,0,0,"N",2.88,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01021","5","1024","73","0","2015","A","",70,372,9343614,3611272,80757,483,25106,"",0.51,0.29,0.16,0.27,0.24,0.56,0.56,"",7,11.1,21,6.0,680563,7.9,208694,6.1,4746,6.2,9,1.9,437,1.8
"01023","5","1024","73","0","2015","A","",25,82,2645523,760481,16017,620,32262,"",0.49,0.17,0.09,0.15,0.15,0.52,0.52,"",2,8.7,11,15.5,492013,22.8,-14451,-1.9,-117,-0.7,33,5.6,1752,5.7
"01025","1","1024","73","0","2015","A","",1,6,434724,0,0,1393,72454,"",9.78,1.60,1.92,0.00,0.00,1.20,1.20,"",0,0.0,1,20.0,106258,32.3,0,0.0,0,0.0,150,12.1,7838,12.1
