"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","1","1025","53","0","2015","A","",36,6455,437708006,0,0,1304,67807,"",2.17,1.21,1.32,0.00,0.00,1.09,1.09,"",2,5.9,216,3.5,21421408,5.1,0,0.0,0,0.0,21,1.6,1078,1.6
"01000","2","1025","53","0","2015","A","",244,61824,3290935991,0,0,1024,53231,"",1.35,1.78,2.02,0.00,0.00,1.14,1.14,"",1,0.4,379,0.6,82203641,2.6,0,0.0,0,0.0,20,2.0,1010,1.9
"01000","3","1025","53","0","2015","A","",2120,128942,5115428994,21417863,346538,763,39672,"",2.33,1.11,1.16,0.27,0.85,1.05,1.04,"",-1,0.0,-693,-0.5,61101104,1.2,-657598,-3.0,-16881,-4.6,13,1.7,683,1.8
"01000","5","1025","53","0","2015","A","",11967,221705,9881695539,1684161941,29254203,857,44571,"",0.63,0.78,0.87,1.08,1.07,1.13,1.12,"",204,1.7,3876,1.8,459847106,4.9,55210509,3.4,-1091119,-3.6,25,3.0,1318,3.0
"01001","2","1025","73","0","2015","A","N",4,0,0,0,0,0,0,"N",3.13,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","3","1025","73","0","2015","A","",19,1127,38637036,0,0,659,34270,"",2.95,1.74,1.97,0.00,0.00,1.14,1.14,"",0,0.0,-22,-1.9,-8991,0.0,0,0.0,0,0.0,12,1.9,623,1.9
"01001","5","1025","73","0","2015","A","",86,1140,33191025,10145881,201715,560,29117,"",0.63,0.71,0.66,1.32,1.63,0.93,0.93,"",1,1.2,-1,-0.1,614429,1.9,567597,5.9,8691,4.5,11,2.0,574,2.0
"01003","2","1025","73","0","2015","A","",4,361,13195581,0,0,702,36511,"",0.47,0.29,0.30,0.00,0.00,1.02,1.02,"",0,0.0,-1,-0.3,-212126,-1.6,0,0.0,0,0.0,-10,-1.4,-501,-1.4
"01003","3","1025","73","0","2015","A","",50,4136,154507370,0,0,718,37356,"",1.17,1.00,1.28,0.00,0.00,1.28,1.29,"",-2,-3.8,72,1.8,4299678,2.9,0,0.0,0,0.0,7,1.0,393,1.1
"01003","5","1025","73","0","2015","A","",554,9105,378727669,70038057,1146771,800,41596,"",0.62,0.89,1.22,1.18,1.20,1.37,1.37,"",17,3.2,414,4.8,22918887,6.4,3599152,5.4,16164,1.4,13,1.7,656,1.6
"01005","2","1025","73","0","2015","A","N",2,0,0,0,0,0,0,"N",2.36,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","3","1025","73","0","2015","A","",15,480,18914018,56168,499,758,39411,"",3.50,0.95,1.25,0.16,0.26,1.31,1.31,"",0,0.0,-3,-0.6,-417504,-2.2,4391,8.5,39,8.5,-12,-1.6,-627,-1.6
"01005","5","1025","73","0","2015","A","",52,774,26424417,6447716,116692,657,34147,"",0.58,0.62,0.68,0.96,0.92,1.09,1.09,"",0,0.0,8,1.0,576539,2.2,20175,0.3,6061,5.5,8,1.2,396,1.2
"01007","2","1025","73","0","2015","A","N",1,0,0,0,0,0,0,"N",1.96,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","3","1025","73","0","2015","A","",17,700,23882217,0,0,657,34142,"",6.59,2.80,2.96,0.00,0.00,1.06,1.06,"",1,6.2,6,0.9,635366,2.7,0,0.0,0,0.0,13,2.0,653,1.9
"01007","5","1025","73","0","2015","A","",26,388,12225021,3539824,62723,606,31521,"",0.48,0.63,0.59,1.20,1.11,0.93,0.93,"",-1,-3.7,15,4.0,1443504,13.4,364127,11.5,-13456,-17.7,50,9.0,2603,9.0
