"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","1","1028","53","0","2015","A","",468,32198,2798363309,0,0,1671,86912,"",1.50,1.58,1.89,0.00,0.00,1.20,1.20,"",-6,-1.3,-410,-1.3,12368070,0.4,0,0.0,0,0.0,28,1.7,1473,1.7
"01000","2","1028","53","0","2015","A","",914,30958,1408755442,57045,507,875,45505,"",1.49,1.28,1.24,0.00,0.00,0.97,0.97,"",-36,-3.8,46,0.1,11751442,0.8,-155,-0.3,-1,-0.2,6,0.7,312,0.7
"01000","3","1028","53","0","2015","A","",637,60589,2352175962,58139161,809079,747,38822,"",0.83,1.13,1.00,0.69,1.14,0.88,0.88,"",3,0.5,124,0.2,68967898,3.0,1079428,1.9,-58865,-6.8,21,2.9,1061,2.8
"01001","1","1028","73","0","2015","A","",6,13,662148,0,0,1005,52275,"",2.71,0.11,0.10,0.00,0.00,0.91,0.91,"",-1,-14.3,-2,-13.3,-112925,-14.6,0,0.0,0,0.0,28,2.9,1451,2.9
"01001","2","1028","73","0","2015","A","",11,186,6912228,0,0,716,37213,"",2.53,1.37,1.37,0.00,0.00,1.00,1.00,"",0,0.0,4,2.2,66817,1.0,0,0.0,0,0.0,-8,-1.1,-416,-1.1
"01001","3","1028","73","0","2015","A","",5,575,21977209,11600,103,734,38194,"",0.92,1.92,2.10,0.03,0.03,1.09,1.09,"",0,0.0,3,0.5,1428080,6.9,0,0.0,0,0.0,44,6.4,2290,6.4
"01003","1","1028","73","0","2015","A","",12,101,6704761,0,0,1282,66659,"",0.82,0.14,0.17,0.00,0.00,1.20,1.20,"",0,0.0,-2,-1.9,5693,0.1,0,0.0,0,0.0,27,2.2,1408,2.2
"01003","2","1028","73","0","2015","A","",18,750,28191082,0,0,723,37584,"",0.63,0.87,0.91,0.00,0.00,1.05,1.05,"",-2,-10.0,48,6.8,2188849,8.4,0,0.0,0,0.0,11,1.5,557,1.5
"01003","3","1028","73","0","2015","A","",16,2892,119618166,3640230,32732,795,41356,"",0.45,1.51,1.86,1.13,1.33,1.23,1.23,"",-1,-5.9,-355,-10.9,-13080732,-9.9,-3802376,-51.1,-35977,-52.4,9,1.1,490,1.2
"01005","1","1028","73","0","2015","A","",4,15,728338,0,0,913,47500,"",2.72,0.17,0.14,0.00,0.00,0.83,0.83,"",0,0.0,1,7.1,-5541,-0.8,0,0.0,0,0.0,-107,-10.5,-5551,-10.5
"01005","2","1028","73","0","2015","A","",15,558,22236440,0,0,766,39850,"",5.20,5.31,5.70,0.00,0.00,1.07,1.07,"",1,7.1,-13,-2.3,-206097,-0.9,0,0.0,0,0.0,10,1.3,546,1.4
"01005","3","1028","73","0","2015","A","",9,366,9364059,346321,3082,492,25567,"",2.50,1.58,1.16,0.96,0.94,0.73,0.73,"",0,0.0,-2,-0.5,223365,2.4,-7563,-2.1,-68,-2.2,14,2.9,706,2.8
"01007","1","1028","73","0","2015","A","",3,40,3230215,0,0,1550,80587,"",3.39,0.91,1.19,0.00,0.00,1.31,1.31,"",0,0.0,-3,-7.0,-135252,-4.0,0,0.0,0,0.0,59,4.0,3071,4.0
"01007","2","1028","73","0","2015","A","",9,233,10043461,0,0,827,43028,"",5.18,4.46,4.82,0.00,0.00,1.08,1.08,"",1,12.5,2,0.9,70423,0.7,0,0.0,0,0.0,-4,-0.5,-192,-0.4
"01007","3","1028","73","0","2015","A","",7,170,4546726,414146,3685,513,26680,"",3.23,1.47,1.05,2.59,2.54,0.71,0.71,"",0,0.0,2,1.2,251866,5.9,-1222,-0.3,-13,-0.4,22,4.5,1166,4.6
"01009","1","1028","73","0","2015","A","",3,28,1901875,0,0,1291,67125,"",1.56,0.32,0.40,0.00,0.00,1.23,1.23,"",-1,-25.0,-3,-9.7,-175110,-8.4,0,0.0,0,0.0,-8,-0.6,-419,-0.6
"01009","2","1028","73","0","2015","A","N",9,0,0,0,0,0,0,"N",2.38,0,0,0,0,0,0,"N",1,12.5,0,0,0,0,0,0,0,0,0,0,0,0
"01009","3","1028","73","0","2015","A","",12,428,11670615,510380,7555,525,27284,"",2.54,1.87,1.55,1.60,3.60,0.83,0.83,"",1,9.1,15,3.6,340666,3.0,30943,6.5,-2105,-21.8,-2,-0.4,-144,-0.5
"01011","1","1028","73","0","2015","A","",1,15,929316,0,0,1178,61274,"",2.63,0.48,0.55,0.00,0.00,1.14,1.14,"",0,0.0,0,0.0,2516,0.3,0,0.0,0,0.0,-24,-2.0,-1207,-1.9
"01011","2","1028","73","0","2015","A","",7,246,10556984,0,0,827,43002,"",9.39,6.61,8.17,0.00,0.00,1.24,1.24,"",0,0.0,2,0.8,-67443,-0.6,0,0.0,0,0.0,-10,-1.2,-526,-1.2
"01011","3","1028","73","0","2015","A","N",3,0,0,0,0,0,0,"N",3.23,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","2","1028","73","0","2015","A","",9,91,3887507,0,0,822,42720,"",3.68,1.04,1.28,0.00,0.00,1.24,1.24,"",-1,-10.0,2,2.2,55249,1.4,0,0.0,0,0.0,-4,-0.5,-218,-0.5
"01013","3","1028","73","0","2015","A","",5,252,8478697,129713,3148,647,33668,"",1.64,1.30,1.35,0.40,0.96,1.04,1.04,"",0,0.0,0,0.0,19050,0.2,14333,12.4,402,14.6,2,0.3,120,0.4
"01015","1","1028","73","0","2015","A","",15,3382,211927959,0,0,1205,62667,"",2.32,7.18,7.47,0.00,0.00,1.04,1.04,"",0,0.0,-184,-5.2,-9049905,-4.1,0,0.0,0,0.0,13,1.1,695,1.1
"01015","2","1028","73","0","2015","A","",14,377,15160368,0,0,774,40240,"",1.10,0.67,0.70,0.00,0.00,1.03,1.03,"",-1,-6.7,-29,-7.1,-2452851,-13.9,0,0.0,0,0.0,-61,-7.3,-3187,-7.3
"01015","3","1028","73","0","2015","A","",11,1523,52300071,871887,11284,660,34336,"",0.69,1.23,1.16,0.51,0.81,0.94,0.94,"",0,0.0,-8,-0.5,455594,0.9,19780,2.3,921,8.9,9,1.4,478,1.4
"01017","2","1028","73","0","2015","A","",11,118,4465977,0,0,725,37714,"",3.63,1.15,1.18,0.00,0.00,1.03,1.03,"",1,10.0,7,6.3,285537,6.8,0,0.0,0,0.0,3,0.4,165,0.4
"01017","3","1028","73","0","2015","A","",10,429,13110916,247971,4683,588,30573,"",2.64,1.88,1.67,0.73,1.68,0.89,0.89,"",0,0.0,2,0.5,358250,2.8,-8209,-3.2,1209,34.8,14,2.4,719,2.4
"01019","1","1028","73","0","2015","A","",3,9,498159,0,0,1105,57480,"",2.78,0.16,0.17,0.00,0.00,1.06,1.06,"",0,0.0,2,28.6,94916,23.5,0,0.0,0,0.0,35,3.3,1860,3.3
"01019","2","1028","73","0","2015","A","",8,60,2542180,0,0,809,42077,"",3.78,0.93,1.12,0.00,0.00,1.20,1.20,"",1,14.3,2,3.4,58742,2.4,0,0.0,0,0.0,-16,-1.9,-803,-1.9
"01019","3","1028","73","0","2015","A","",4,192,6618323,179833,4580,662,34441,"",1.51,1.34,1.41,0.83,1.95,1.05,1.05,"",0,0.0,-2,-1.0,249061,3.9,4510,2.6,1229,36.7,31,4.9,1652,5.0
"01021","1","1028","73","0","2015","A","",1,1,56604,0,0,1451,75472,"",0.50,0.01,0.01,0.00,0.00,1.34,1.34,"",0,0.0,0,0.0,-18928,-25.1,0,0.0,0,0.0,-2,-0.1,-60,-0.1
"01021","2","1028","73","0","2015","A","",11,227,9791012,0,0,828,43069,"",2.83,1.92,2.27,0.00,0.00,1.18,1.18,"",0,0.0,2,0.9,247143,2.6,0,0.0,0,0.0,12,1.5,636,1.5
"01021","3","1028","73","0","2015","A","",5,371,10550924,969146,8626,548,28478,"",1.03,1.42,1.18,2.34,2.36,0.83,0.83,"",0,0.0,-11,-2.9,-21746,-0.2,13129,1.4,118,1.4,16,3.0,807,2.9
"01023","1","1028","73","0","2015","A","",0,0,0,0,0,0,0,"",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"",-1,-100.0,-1,-100.0,-43232,-100.0,0,0.0,0,0.0,-1425,-100.0,-74112,-100.0
"01023","2","1028","73","0","2015","A","",8,46,1615600,0,0,671,34869,"",5.48,1.07,0.75,0.00,0.00,0.70,0.70,"",1,14.3,3,7.0,80973,5.3,0,0.0,0,0.0,-21,-3.0,-1099,-3.1
"01023","3","1028","73","0","2015","A","",9,113,3036718,130962,1166,516,26834,"",4.94,1.19,0.68,0.87,1.02,0.57,0.57,"",0,0.0,-1,-0.9,160677,5.6,-19852,-13.2,-178,-13.2,33,6.8,1697,6.8
"01025","1","1028","73","0","2015","A","",5,36,2350574,0,0,1244,64695,"",2.90,0.41,0.43,0.00,0.00,1.04,1.04,"",0,0.0,0,0.0,20493,0.9,0,0.0,0,0.0,-4,-0.3,-180,-0.3
"01025","2","1028","73","0","2015","A","",12,253,11259602,0,0,855,44446,"",3.54,2.42,2.69,0.00,0.00,1.11,1.11,"",-3,-20.0,12,5.0,638604,6.0,0,0.0,0,0.0,6,0.7,314,0.7
"01025","3","1028","73","0","2015","A","",6,362,11639026,776907,6915,619,32174,"",1.42,1.57,1.34,2.22,2.74,0.86,0.86,"",0,0.0,10,2.8,488288,4.4,5849,0.8,52,0.8,10,1.6,503,1.6
"01027","1","1028","73","0","2015","A","",2,23,1492524,0,0,1230,63965,"",3.64,0.55,0.69,0.00,0.00,1.23,1.22,"",0,0.0,-3,-11.5,-39664,-2.6,0,0.0,0,0.0,75,6.5,3879,6.5
"01027","2","1028","73","0","2015","A","N",8,0,0,0,0,0,0,"N",7.41,0,0,0,0,0,0,"N",1,14.3,0,0,0,0,0,0,0,0,0,0,0,0
"01027","3","1028","73","0","2015","A","",4,146,3738867,81370,1009,493,25623,"",2.97,1.34,1.08,0.49,0.73,0.81,0.81,"",0,0.0,3,2.1,123700,3.4,-14175,-14.8,-175,-14.8,8,1.6,416,1.7
"01029","1","1028","73","0","2015","A","",1,18,1231119,0,0,1321,68714,"",1.86,0.76,0.74,0.00,0.00,0.97,0.97,"",0,0.0,0,0.0,95416,8.4,0,0.0,0,0.0,113,9.4,5910,9.4
"01029","2","1028","73","0","2015","A","",8,112,3309125,0,0,571,29678,"",7.59,4.00,2.59,0.00,0.00,0.65,0.65,"",0,0.0,-2,-1.8,-195690,-5.6,0,0.0,0,0.0,-22,-3.7,-1179,-3.8
"01029","3","1028","73","0","2015","A","N",3,0,0,0,0,0,0,"N",2.28,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
