"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","1","102","52","0","2015","A","",1185,53014,4199053853,0,0,1523,79206,"",1.56,1.44,1.76,0.00,0.00,1.22,1.22,"",-1,-0.1,-477,-0.9,50862562,1.2,0,0.0,0,0.0,32,2.1,1656,2.1
"01000","2","102","52","0","2015","A","",1362,94347,4764138973,57045,507,971,50496,"",1.62,1.55,1.67,0.00,0.00,1.08,1.08,"",-40,-2.9,400,0.4,92308286,2.0,-3155,-5.2,-109,-17.7,15,1.6,768,1.5
"01000","3","102","52","0","2015","A","",3697,210778,8260958456,126202123,1810948,754,39193,"",1.80,1.13,1.11,0.64,1.14,0.99,0.99,"N",-6,-0.2,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","102","52","0","2015","A","",96950,1173935,47672759836,10618358418,201344152,781,40609,"",0.97,0.89,0.84,0.96,0.94,0.95,0.95,"",1682,1.8,21604,1.9,2187174203,4.8,298753096,2.9,-11009947,-5.2,22,2.9,1136,2.9
"01001","1","102","72","0","2015","A","",11,77,4174693,0,0,1044,54276,"",2.04,0.37,0.39,0.00,0.00,1.05,1.05,"",-1,-8.3,-6,-7.2,103471,2.5,0,0.0,0,0.0,95,10.0,4928,10.0
"01001","2","102","72","0","2015","A","",18,515,21588871,0,0,806,41920,"",3.02,1.51,1.70,0.00,0.00,1.13,1.13,"",0,0.0,41,8.6,1513429,7.5,0,0.0,0,0.0,-9,-1.1,-471,-1.1
"01001","3","102","72","0","2015","A","",32,1903,67869188,116608,1037,686,35661,"",2.20,1.82,2.06,0.12,0.15,1.13,1.13,"",0,0.0,-7,-0.4,1686692,2.5,1008,0.9,8,0.8,20,3.0,1007,2.9
"01001","5","102","72","0","2015","A","",647,6037,163376006,49549449,891554,520,27061,"",0.91,0.82,0.65,0.91,0.92,0.80,0.80,"",13,2.1,-32,-0.5,4257759,2.7,605203,1.2,-44459,-4.7,16,3.2,844,3.2
"01003","1","102","72","0","2015","A","",33,331,19390130,0,0,1128,58669,"",0.93,0.25,0.30,0.00,0.00,1.18,1.18,"",0,0.0,6,1.8,1234469,6.8,0,0.0,0,0.0,54,5.0,2820,5.0
"01003","2","102","72","0","2015","A","",34,1160,42736091,0,0,708,36834,"",0.86,0.53,0.55,0.00,0.00,1.03,1.03,"",-2,-5.6,46,4.1,1947239,4.8,0,0.0,0,0.0,4,0.6,225,0.6
